Job Title,Salary Estimate,Company Name,Location,Job Description,Rating,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_est,glassdoor_est,Min Salary,Max Salary,age,company_txt
Business Analyst,$61K - $85K (Glassdoor est.),BCVS group Inc.5.0 ★,"Plano, TX","Hello,
We are hiring for Business System Analyst Position, interested we can apply.
Duration
12 Months Contract Initially – Will Extend Long Term
Top Skills/Description
Need to have 3+ Years of experience.
Needs to have API Mapping, Running Scrum Call Daily Standups, Strong Database experience including SQL etc.
** Needs to have strong experience with Microservices **
Preferred Qualifications:
Bachelor’s degree in computer science, Information Systems or related field.
2+ years of experience in an environment building Micro services
Must have expertise in requirements management (Agile and Waterfall), SDLC, business process, applications and systems, negotiation skills, and RFP development and technical evaluation.
Strong knowledge and experience using platform-as-a-service deployment environment.
Strong knowledge and experience with continuous integration and continuous delivery.
Strong knowledge and experience with both container and cloud VM application deployment models.
Experience working within Agile/Scrum/Kanban development team
Excellent written and verbal communication skills with demonstrated ability to present complex technical information in a clear manner to peers, developers, and senior leaders.
Technical Skills: Jira, Azure DevOps, REST services, JSON, Swagger, Jenkins, Git, Adobe Analytics
Thank & Regards
Manshi / Recruiter
Job Types: Full-time, Contract
Work Location: On the road
Show Less
Report",5.0,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,0,0,1,61.0,85.0,-1,BCVS group Inc.
Business Systems Analyst,$61.00 - $71.00 Per Hour (Employer est.),SRP,"Irvine, CA",-1,5.0,-1,-1,-1,-1,-1,-1,1,1,0,61.0,71.0,-1,
Business/Database Analyst,$58K - $92K (Glassdoor est.),JSR Tech Consulting5.0 ★,"Newark, NJ","JSR has an immediate opening for their direct client, a leading Insurance/Financial Services company based in Newark, NJ for a Database Analyst:

As a Database Analyst , you will partner with product owners, tech leads, designers, engineers, and delivery professionals to improve our applications. You will code, test and debug new and existing applications as you implement database capabilities to solve sophisticated business problems, deploy innovative products, services and experiences to delight our customers! In addition to applied experience, you will bring excellent problem solving, communication and teamwork skills, along with agile ways of working and a continuous learning focus to all that you do.
Here is What You Can Expect on a Typical Day
"" Design, develop, and maintain efficient cloud-based database systems in alignment with our application modernization roadmap
"" Analyze existing DB2 and Oracle database schemas and assist in migrating data to new cloud-based databases
"" Analyze existing DB2 and Oracle stored procedures and assist with migrating business logic from these stored procedures into Spring Boot and/or Node.js services
"" Ensure data integrity and security by implementing appropriate access controls, backups, and disaster recovery plans
"" Collaborate with the development teams to design and implement database schemas, tables, and other database objects
"" Develop high quality, well documented and efficient infrastructure and code adhering to all applicable Prudential standards
"" Collaborate with product owners in understanding needs and defining feature stories, tech leads in defining technical design and other team members to understand the system end-to-end and deliver robust solutions that deliver business value
"" Write unit and integration tests, researching problems discovered by quality assurance or product support, and developing solutions to address the problems
"" Bring an applied understanding of relevant and emerging technologies, identify opportunities to provide input to the team and coach others, and embed learning and innovation in the day-to-day
"" Work on complex problems in which analysis of situations or data requires an in-depth evaluation of various factors
"" Use programming languages/frameworks including but not limited to Java, Spring Boot, JavaScript/Typescript, Node.js
The Skills & Expertise You Bring
"" Bachelor of Computer Science or Engineering or experience in related fields
"" Leverage diverse ideas, experiences, thoughts and perspectives to the benefit of the organization
"" Experience with agile development methodologies and Test-Driven Development (TDD)
"" Knowledge of business concepts, tools and processes that are needed for making sound decisions in the context of the company's business
"" Ability to learn new skills and knowledge on an on-going basis through self-initiative and tackling challenges
"" Excellent problem solving, communication and collaboration skills

"" Applied experience with several of the following:
o Programming Languages: Java and/or JavaScript
o Database Management Systems: Oracle, DB2, PostgreSQL, DynamoDB
o Data Streaming: SQS, Kinesis
o Application Programming Interfaces (API): Consumption & Development; implementing service-oriented architecture (SOA) patterns; Web service technologies such as APIs, REST, JSON, SOAP, XML, JDBC, MySQL
o Unit and interface testing concepts and tooling (functional & non-functional)
o Automated testing
o Software security skills including secure coding, web application security and DevSecOps; Solid grasp of security concepts (authentication, authorization, encryption, digital signature, JWT), SSL, web service proxies, firewall, SAML 2.0, OpenID Connect, OAuth 2.0)
o Dev Ops Tools & Practices: Branching techniques and usage of GitHub/Bitbucket; DevOps, Jenkins
o Software Development Life Cycle (SDLC): Monitoring and logging techniques
o AWS Core Services: AWS Services such as CloudWatch, ECS, API Gateway

"" Preferred qualifications:
o AWS Development
o Architecture Patterns
o Design Thinking
o Financial/Insurance industry knowledge is a plus, not a must
Show Less
Report",5.0,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,0,1,58.0,92.0,8,JSR Tech Consulting
Data Analyst,$60K (Employer est.),Wildcat3.5 ★,"New York, NY","Are you someone who loves crunching numbers and deriving insights? Do you have a passion for making a real-world impact through business analysis? Look no further! Join our team at Fedcap - Wildcat and work in our New York office as a Data Analyst.
This is a full-time position with a salary of $60,000 annually. You'll receive generous benefits, including medical, dental, vision, a flexible spending account (FSA), short- and long-term disability, a 403(b) plan, an employee assistance program, a future mom's program, and life insurance. Come be a part of a nonprofit organization dedicated to improving the lives of individuals in our community through business analysis.
OUR MISSION
Wildcat Service Corporation was founded in July 1972 by visionary social entrepreneur, Herb Sturz. We are the first organization in the United States to design and implement a transitional work program for unemployed persons with criminal convictions. Each year Wildcat helps thousands of individuals transition successfully from incarceration to their community so they can find jobs, build careers, and receive the training and guidance needed to achieve economic well-being.
Our services are only as effective as the quality of the people who make up our team. To achieve our mission, we strive to attract and retain talented and committed staff who believe in our cause. This is why we provide competitive compensation, great benefits, and plenty of opportunities for personal and professional growth.
YOUR DAY AS A DATA ANALYST
As a Data Analyst at Fedcap - Wildcat, you have a significant impact on the success of our nonprofit's programs and services. Your primary responsibilities involve analyzing our business systems, financial statements, and proposal drafts for review by our Executive Director.
With your impressive skills in Excel, Word, Visio, Salesforce, and Oracle, you're responsible for preparing executive-level presentations that convey complex information in a clear and concise manner. Additionally, you conduct data and business analysis of financial statements, Salesforce pipeline, and operational systems for Wildcat programs and services.
One of your most important responsibilities is to develop and implement a strategy for gathering and reporting meaningful data that reflects the impact of outcomes for our programs and services. You work closely with various departments and stakeholders to ensure that we meet our goals and objectives. We value your contribution to our organization and appreciate the passion and dedication you bring to the table. Thank you for helping us achieve our mission!
WHAT IS REQUIRED TO BE A DATA ANALYST?
Bachelor's degree in related field; Master's preferred
Strong, demonstrable knowledge of financial analytics, budgeting, and reporting
Strong, demonstrable background in finance/accounting
Ability to meet deadlines and work additional hours during peak sessions
Ability to make suggestions to senior management based on analysis
Ability to work independently
Come join our nonprofit and use your business analysis skills to make a positive impact on our community!
HOW TO APPLY
We believe in taking care of our team, both on and off the job. That's why we offer a streamlined 3-minute, mobile-friendly application process - because we know your time is valuable. If you're ready to take your skills to the next level and join a nonprofit that values hard work and good times, complete our application today!
Location: 10017
Show Less
Report",3.5,201 to 500 Employees,1972,Nonprofit Organization,Education & Training Services,Education,$5 to $25 million (USD),0,1,0,60.0,60.0,51,Wildcat
Junior Business/Data Analyst,$51K - $78K (Glassdoor est.),"The Kenific Group, Inc2.6 ★","Washington, DC","Company Overview:
The Kenific Group, Inc. (KGI) is a private, small business based in the Washington, DC area. KGI was founded in 2011, initially providing acquisition and supply chain management services to the US Coast Guard. KGI has used this experience to expand our service offerings to other agencies within the Department of Homeland Security (DHS), the Department of Defense (DoD), and the U.S. Postal Service (USPS). In the past 10 years we have grown our service offerings to include infrastructure resiliency, contact center operations, information technology, software engineering, program management, strategic communications, engineering, and cybersecurity. We have also grown our customer base to include commercial clients.

Position Overview:
The Kenific Group is seeking a Junior Business/Data Analyst with a background in data-centric product development who is technically proficient and eager to learn. A successful candidate should have a history of documenting, analyzing, and understanding business processes and requirements for solutions that support data science and full-stack data analytics. He/she will be able to communicate clearly and effectively with engineers as well as less technical team members (e.g., project managers, customers, executive teams).

Responsibilities:
Collaborate with team to ensure solutions meet customer's business needs and requirements.
Work with client to evaluate current business processes and anticipate functional requirements.
Prepare documentation to communicate findings.
Communicate information and insights effectively to cross-functional team members and management.
Perform requirements analysis.
Gather and document critical information about relevant information technology landscape, business processes, and data sources from stakeholder meetings.

Requirements:
Bachelor's degree in business or related field
Experience creating dashboards and visualizations.
Working knowledge of SQL and NoSQL databases.
Excellent documentation skills
3-5 years professional, hands-on experience as an analyst supporting data-driven products.
U.S. citizenship required - must be able to obtain DoD Secret Clearance.
Excellent communication skills with the ability to interact clearly and succinctly in written and oral presentations.
Ability to work closely with stakeholders to determine acceptable solutions and opportunities for process improvement.
Advanced technical understanding
Competency using Microsoft applications (Word, Excel, Teams, Outlook, etc.)
Detail-oriented, self-motivated, and organized
Preferred Skills:
Working knowledge of Agile Scrum methodology
AWS (Amazon Web Services) and/or Microsoft Azure. Certification(s) a plus.
Experience with AI/ML a plus
Work Location:
Remote

We are proud to offer a highly competitive compensation and benefits package to our employees and have created a highly flexible work environment to allow us to use a geographically distributed work force around the country by maximizing use of technology and prioritizing communications.
This employer uses E-Verify. EOE including disability/vets.
Medical/vision/dental; company-paid life and AD&D with opportunity to increase via payroll deduction; company-paid short- and long-term disability; 401(k) with matching; WMATA SmartBenefits
Show Less
Report",2.6,51 to 200 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD),0,0,1,51.0,78.0,-1,"The Kenific Group, Inc"
Business Analyst- Merchant Information Office,$68K - $103K (Glassdoor est.),Boscov's Department Store3.1 ★,"Reading, PA","Boscov’s Business Analyst
Job Responsibilities
Support the reporting needs of the business by using operational and Business Intelligence (BI) systems.
Assist with BI applications administrative, maintenance, testing, and development functions.
Support the business with product information management to maintain data integrity and accuracy across the enterprise.
Assist with the update and maintenance of our Organizational merchandise and merchant database and structures.
Support the users in understanding their merchandise structures and metrics across the enterprise.
Assist with ad hoc and weekly queries, reporting, and analyses.
Assist in other functions and projects as necessary.
Job Requirements
Bachelor’s degree in Information Systems or related field.
Ability to rapidly build a comprehensive knowledge of our databases, Org structures, and systems.
Advanced analytical, leadership, and problem-solving skills.
Proactive approach to issue resolution.
Prior experience with relational DB2 tables, SQL, Oracle EPM/BI suite, and other end-user reporting tools including Excel.
Prior understanding of retail inventory management, retail metrics, and item level data.
Highly self-motivated with a desire to take ownership.
Exceptional organizational skills, and attention to detail.
Excellent interpersonal and communication skills.
Strong leadership skills and ability to work with various IT and business teams as required.
Benefits
At Boscov’s, we value our employees, and that’s why we provide a competitive compensation and benefits package. As a member of our IT team, you will be eligible to receive:
Competitive starting rate
Weekly Pay
Comprehensive benefits package, including medical/dental/vision
Paid Vacations and Personal days
Liberal Employee Discounts
Much More!
Work where people love to shop!
Equal Opportunity Employer
#INDMAIN
Show Less
Report",3.1,5001 to 10000 Employees,1914,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD),0,0,1,68.0,103.0,109,Boscov's Department Store
Business Analyst,$69K - $100K (Glassdoor est.),Artisys Corporation,"Dallas, TX","Artisys Corporation is seeking a Business Analyst for our client based in Dallas, TX. This is on on-site position with the Treasury Department. All skill levels that meet the outlined criteria are encouraged to apply for consideration.

If the description below appeals to your skills and you live in Dallas, TX (or are willing to relocate), we would like to meet with you!

Must have experience in Treasury, business architecture, business process/flow design
Able to challenge current business processes and bring the best practice in
Convert the business expectations(scope) into a User Story document (BRD) covering all the requirements
Create a Feature list based on the requirements document-Elicitation of the feature and the requirements with the stakeholders-Writing User Stories-Creation of Wireframe
Coordinate with the Graphic Designer to develop the User Interface Screen-Coordination with the stakeholder forgetting sign-offs on the user stories, wireframes, and Mockups-Brainstorming the requirement with the internal stakeholders-Organizing and leading the knowledge sharing session with the development, and testing teams to spread the requirement
Prepare and maintain traceability matrix
Show Less
Report",-1.0,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,1,69.0,100.0,-1,Artisys Corporation
Business Systems Analyst,$62.00 Per Hour (Employer est.),epigee.inc,"Fountain Valley, CA",-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,0,62.0,62.0,-1,epigee.inc
Business System Analyst,$70K - $121K (Employer est.),lucid technologies4.5 ★,"Dallas, TX","Job Title: IT - Business Systems Analyst II
Job Description: Job Title: Analyst, Business (Technical) Intermediate
Location: Remote
Description: Under direct supervision, have duties of instructing, directing, and checking the work of other technical staff. Reviews design documents and ensure technical specifications and designs are correct. Responsible for the completion of assigned engineering projects within budgetary and scheduling guidelines. Leads technical staff assigned for the duration of a project or may function as ongoing lead for technical staff associated with one or more technical areas. Does not have formal supervisory responsibilities, although may provide input for (project) team member performance appraisals.
Description
Provides business guidance and technical expertise to management and stakeholders to facilitate project planning, set project direction, define business initiatives, and develop solutions to business problems in a Scrum-based Agile development environment.
Works with stakeholders to elicit and analyze application requirements for assigned projects.
Writes user stories to capture application requirements.
Helps develop functional specifications that translate business requirements into functions and or features.
Develops process flow diagrams, flowcharts, requirements traceability matrices and other similar documentation as needed.
Plans and supports sprint demonstrations and orientation sessions with clients.
Participates in all agile ceremonies.
Assists in developing and executing application test plans to ensure the application meets requirements defined in user stories.
Develops effective working relationships with stakeholders to ensure optimum cooperation and coordination.
Supports periodic after-hours software release deployments.
Performs all functional duties independently.
Required Skills/Experience:
A minimum of 5 years of experience in business analysis, software development and/or related field
A minimum of 3 years of experience eliciting requirements and writing user stories
Knowledge of and experience with Agile software development and testing
Ability to facilitate presentations, group meetings, and walk-through sessions with stakeholders and IT professionals. Strong facilitation skills to effectively lead discussions across multiple groups.
Ability to communicate clearly and effectively, orally and in writing, with project stakeholders.
History of building strong working relationships with clients and team members
Experience writing and reviewing a broad range of technical documentation, especially technical requirements, specifications, and design documents.
Extensive experience with and knowledge of the Microsoft Office Suite, including Visio.
General familiarity and experience with project management methodologies/disciplines, especially in the areas of scope, cost, and schedule management
Knowledge of business information systems/applications, development methods, procedures, standards, and techniques
Ability to be flexible and think analytically in a problem-solving environment.
Ability to employ critical thinking skills to solve complex business problems or develop functional processes.
Ability to perform all functional duties independently.
Preferred Skills/Experience/Education/Certification:
Scrum Master Certification (CSM)
A bachelor’s degree from an accredited College/University in Software Engineering, Computer Science, Business, or related discipline
Working knowledge and experience with the following methodologies, processes, and tools:
SDLC practices
Application Lifecycle Management (ALM)
VersionOne (or Jira)
ServiceNow
Agile Level of Effort and Estimation for Release Planning
Strong knowledge of several of the following tools: MS Office Suite, MS Visio, Manual and Automated Testing Tools,
Google Cloud Platform project requirements management experience
Additional Provisions
Pass both a client mandated clearance process to include drug screening, criminal history check and credit check.
Once candidate’s resume is approved and interview passed, the agency is responsible for providing drug screening. Failure to submit the drug screening results will delay the security clearance process.
If a candidate, is given an interim clearance, continuation of employment is then based on the candidate receiving a sensitive clearance.
All candidates must be a US Citizen or have permanent residence status (Green Card).
Candidate must have lived in the United States for the past 5 years.
Cannot have more than 6 months travel outside the United States within the last five years. Military Service excluded. (Exception does not include military family members.)
All overtime must be pre-approved in writing by the client manager or his/her designated representative.
Agency will not be reimbursed for overtime charges without previous written authorization. Authorized overtime will be reimbursed at straight time.
Job Type: Contract
Salary: $69,674.28 - $121,133.66 per year
Experience level:
8 years
Schedule:
8 hour shift
Ability to commute/relocate:
Dallas, TX 75201: Reliably commute or planning to relocate before starting work (Required)
Work Location: In person
Show Less
Report",4.5,51 to 200 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,1,0,70.0,121.0,19,lucid technologies
Business Systems Analyst I/II/III,$80K - $121K (Employer est.),Santa Clara Family Health Plan3.5 ★,"San Jose, CA","Salary Range: $80,428 - $120,642
The expected pay range is based on many factors, such as experience, education, and the market. The range is subject to change.
This posting is for one position and will be filled as either a Business Systems Analyst I or Business Systems Analyst II or a Business Systems Analyst III depending on the candidate's qualifications and experience.
FLSA Status: Exempt
Department: Information Technology
Reports To: Manager, Business Systems
Location: San Jose, CA
Salary:
Business Systems Analyst I - $76,598 - $114,897
Business Systems Analyst II - $88,088 - $132,131
Business Systems Analyst III - $99,315 - $153,938
Employee Unit: Employees in this classification are represented by Service Employees International Union (SEIU) Local No. 521.
GENERAL DESCRIPTION OF POSITION
We are looking for a BSA candidate who possesses strong technical skills with a focus on reporting and data analysis. The candidate should be skilled in SQL and have an understanding of programming languages to support code review and interpretation. The position will require adept critical thinking and problem-solving skills. The position will be responsible for developing and maintaining regulatory reports related to Case Management, Utilization Management, Claims, Members, Grievances, and Appeals.
Business Systems Analyst I - The Business Systems Analyst I acts as a liaison between the business units, internal and external, including software development, production support teams, vendors and trading partners; develops and reviews small scale, basic business requirements, functional specifications, and business processes; participates in basic validation and testing of applications and reports, and provides support in the maintenance and improvement of SCFHP information management systems in support of SCFHP objectives and regulatory compliance.
Business Systems Analyst II - The Business Systems Analyst II acts as a liaison between the business units, internal and external, including software development, production support teams, vendors and trading partners; develops and reviews small to medium scale, basic to moderate business requirements, functional specifications, and business processes; participates in basic to moderate validation and testing of applications and reports, and provides support in the maintenance and improvement of SCFHP information management systems in support of SCFHP objectives and regulatory compliance.
Business Systems Analyst III - The Business Systems Analyst III acts as a liaison between the business units, internal and external, including software development, production support teams, vendors and trading partners; develops and reviews small to large scale, basic to complex business requirements, functional specifications, and business processes; participates in basic to complex validation and testing of applications and reports, and provides support in the maintenance and improvement of SCFHP information management systems in support of SCFHP objectives and regulatory compliance.
ESSENTIAL DUTIES AND RESPONSIBILITIES
To perform this job successfully, an individual must be able to perform each essential duty listed below satisfactorily.
Business Systems Analyst I - Project and task management for small scale projects including facilitate stakeholder and project team meetings, track actionable items, send regular project communications to team members and stakeholders, and escalate identified risks. Business Systems Analyst II - Project and task management for small to medium scale projects including: facilitate stakeholder and project team meetings, track actionable items, send regular project communications to team members and stakeholders, and escalate identified risks. Business Systems Analyst III – Project and task management for small to large scale projects including: facilitate stakeholder and project team meetings, track actionable items, send regular project communications to team members and stakeholders, and escalate identified risks.
Business Systems Analyst I - Troubleshoot small scale, basic production system issues, including: thoroughly reviewing the initial service request, efficiently gathering additional information as needed from the service requester and subject matter experts, performing comprehensive critical thinking to identify root cause, documenting findings and resolution, and working with manager to determine appropriate escalation path, if applicable. Business Systems Analyst II - Troubleshoot small to medium scale, basic to moderate production system issues, including: thoroughly reviewing the initial service request, efficiently gathering additional information as needed from the service requester and subject matter experts, performing comprehensive critical thinking to identify root cause, documenting findings and resolution, and working with manager to determine appropriate escalation path, if applicable. Business Systems Analyst III - Troubleshoot small to large scale, basic to complex production system issues, including: thoroughly reviewing the initial service request, efficiently gathering additional information as needed from the service requester and subject matter experts, performing comprehensive critical thinking to identify root cause, documenting findings and resolution, and working with manager to determine appropriate escalation path, if applicable.
Business Systems Analyst I - Process improvement and documentation for small scale, basic projects and components of medium scale projects; writing formal requirements and functional specifications following industry standards and departmental templates; creating process flow diagrams; overseeing implemented changes; communicating impact to affected business areas. Business Systems Analyst II - Process improvement and documentation for small to medium scale, basic to moderate projects and components of large scale projects; writing formal requirements and functional specifications following industry standards and departmental templates; creating process flow diagrams; overseeing implemented changes; communicating impact to affected business areas. Business Systems Analyst III - Process improvement and documentation for small to large scale, basic to complex projects; writing formal requirements and functional specifications following industry standards and departmental templates; creating process flow diagrams; overseeing implemented changes; communicating impact to affected business areas.
Responsible for following the SCFHP Project Life Cycle, Software Development Coding Standards, and Change Control Management policies and procedures.
Perform data validation on both inbound and outbound data sources. Document test cases and results.
Act as a resource for IT staff and business units ensuring quality, testing, and documentation.
Create and maintain basic to moderate SQL based reports to support business processes and initiatives.
Business Systems Analyst III - Train, mentor and educate business systems analyst staff as needed on IT or healthcare topics.
Generate basic to complex source to target mapping documentation that clearly defines the data mapping and business rules applied between two systems.
Perform other related duties as required or assigned.
REQUIREMENTS – Required (R) Desired (D)
The requirements listed below are representative of the knowledge, skill, and/or ability required or desired.
Bachelor’s Degree in Healthcare, Information Systems, or related field, or equivalent experience, training or coursework. (R)
Business Systems Analyst I - Experience in healthcare. (D) Business Systems Analyst II - Minimum two years of experience as a business analyst. (R) Business Systems Analyst III – Minimum four years of experience, training or coursework. (R)
Business Systems Analyst I - Knowledge of healthcare management information systems. (D) Business Systems Analyst II - Minimum one year of experience with healthcare management information systems. (R) Business Systems Analyst III – Minimum three years of experience with healthcare management information systems. (R)
Business Systems Analyst I - Ability to identify, troubleshoot, and resolve small scale, basic business and systems issues. (R) Business Systems Analyst II - Ability to identify, troubleshoot, and resolve small to medium scale, basic to moderate business and systems issues. (R) Business Systems Analyst III - Ability to identify, troubleshoot, and resolve small to large scale, basic to complex business and system issues. (R)
Ability to organize work and present results in a professional manner. (R)
Business Systems Analyst I - Knowledge of healthcare business processes. (D) Business Systems Analyst II - Minimum one year of experience working with healthcare business processes. (R) Business Systems Analyst III – Minimum three years of experience working with healthcare business processes. (R)
Business Systems Analyst I - Knowledge of healthcare analytics and standard reporting measures. (D) Business Systems Analyst II - Minimum one year of experience working with healthcare analytics and standard reporting measures. (R) Business Systems Analyst III - Minimum three years of experience working with healthcare analytics and standard reporting measures. (R)
Business Systems Analyst I - Knowledge of project management standards and functions. (R) Business Systems Analyst II - Minimum two years of experience utilizing project management guidelines and best practice. (R) Business Systems Analyst III - Minimum four years of experience utilizing project management standards and functions. (R)
Business Systems Analyst I - Ability to analyze data for the purpose of informing business decisions. (D) Business Systems Analyst II - Minimum two years of experience analyzing data for the purpose of informing business decisions. (R) Business Systems Analyst III - Minimum four years of experience analyzing data for the purpose of informing business decisions. (R)
Business Systems Analyst I - Ability to document business requirements and processes following industry guidelines and best practice. (R) Business Systems Analyst II - Minimum two years of experience creating industry standard business requirements and process documentation. (R) Business Systems Analyst III - Minimum four years of experience creating industry standard business requirement and process documentation. (R)
Working knowledge of and the ability to efficiently operate all applicable computer software including a working knowledge of computer applications such as Outlook, Word and Excel. (R)
Ability to use a keyboard with moderate speed and a high level of accuracy. (R)
Excellent communication skills including the ability to express oneself clearly and concisely when providing service to SCFHP internal departments, providers and outside entities over the telephone, in person or in writing. (R)
Ability to think and work effectively under pressure and accurately prioritize and complete tasks within established timeframes. (R)
Ability to assume responsibility and exercise good judgment when making decisions within the scope of the position. (R)
Ability to maintain confidentiality. (R)
Ability to comply with SCFHP’s policies and procedures. (R)
Ability to perform the job safely with respect to others, to property, and to individual safety. (R)
WORKING CONDITIONS
Generally, duties are primarily performed in an office environment while sitting or standing at a desk. Incumbents are subject to frequent contact with and interruptions by co-workers, supervisors, and plan members or providers in person, by telephone, and by work-related electronic communications.
PHYSICAL REQUIREMENTS
Incumbents must be able to perform the essential functions of this job, with or without reasonable accommodation:
Mobility Requirements: regular bending at the waist, and reaching overhead, above the shoulders and horizontally, to retrieve and store files and supplies and sit or stand for extended periods of time; (R)
Lifting Requirements: regularly lift and carry files, notebooks, and office supplies that may weigh up to 5 pounds; (R)
Visual Requirements: ability to read the information in printed materials and on a computer screen; perform close-up work; clarity of vision is required at 20 inches or less; (R)
Dexterity Requirements: regular use of hands, wrists, and finger movements; ability to perform repetitive motion (keyboard); writing (note-taking); ability to operate a computer keyboard and other office equipment (R)
Hearing/Talking Requirements: ability to hear normal speech, hear and talk to exchange information in person and on telephone; (R)
Reasoning Requirements: ability to think and work effectively under pressure; ability to effectively serve customers; decision making, maintain a concentrated level of attention to information communicated in person and by telephone throughout a typical workday; attention to detail. (R)
ENVIRONMENTAL CONDITIONS
General office conditions. May be exposed to moderate noise levels.
EOE
Job Type: Full-time
Pay: $80,428.00 - $120,642.00 per year
Show Less
Report",3.5,201 to 500 Employees,1997,Government,Insurance Carriers,Insurance,$1 to $5 billion (USD),0,1,0,80.0,121.0,26,Santa Clara Family Health Plan
