Job Title,Salary Estimate,Company Name,Location,Job Description,Rating,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Engineer,$100K - $133K (Glassdoor est.),LOOP BELL TECH INC3.7 ★,"Fort Worth, TX","Contract: W2
Note: No C2C
Responsibilities:
* Collaborates with architecture and technical leadership to define the vision and solutions
* Collaborate alongside other engineers of various disciplines to take the design and create executable pieces of work
* Participates in all phases of development
* Establishes and champions First Command data and data engineering standards/best practices
* Communicate and work alongside members of their team in support of their day-to-day work items
* Works with business partners to ensure alignment between the ask and the output
* Participate and lead peer reviews and champion peer review best practices and culture
* Key player and leader in an Agile environment, participating in daily huddles, sprint planning, retrospectives, etc.
* Mentors junior team members in best practices and standards
* Serve as escalation point for other team members on technical issues
* Leads effort to create and document deployment and release plans
* Works with architects to evaluate new technologies and patterns that will inform the technology roadmap
* Leads Communities of Practices or other cross functional training opportunities
* Leads troubleshooting processes to determine root cause analysis
REQUIREMENTS:
* Bachelor's degree required; MBA or MS or equivalent a plus
* 7+ years of applied experience in data integration, ETL, and data management or comparable positions that handle large/complex data sets, developing automation, and fostering business partner relationships
* Expert in one or more of the following ETL tools such as Azure Data Factory, Informatica, Matillion, Fivetran and DBT
* Experience working with a diverse set of data sources such as Flat File, Database, API, Event Streaming
* Expert in SQL with knowledge of T-SQL
* Strong experience in data modeling, data warehousing, and MDM solutions
* Familiar with Azure Synapse or Snowflake
* Familiar with Databricks Delta Lake
* Familiar with a scripting language such as python, powershell, or bash
* Familiar with data lake design patterns
* Excellent written communication and presentation skills
* Proficient in understanding of data mapping and lineage strategies
* Proficient in understanding in conceptual, logical, and physical data design
* Proficient in understanding of data management practices, data architecture principles, and data governance process
Preferred Qualifications:
* Expert in Azure Data Factory, Data Bricks, and Python
* Strong dimensional modelling skills
* Familiarity with DevOps principles and processes
* Applied experience in Agile, SAFe, or Scrum
* Financial services industry experience or other highly regulated industry experience a plus
* Familiarity with data science and analytics tools such as Alteryx, SPSS, SAS, Tableau, PowerBIResponsibilities:
* Collaborates with architecture and technical leadership to define the vision and solutions
* Collaborate alongside other engineers of various disciplines to take the design and create executable pieces of work
* Participates in all phases of development
* Establishes and champions First Command data and data engineering standards/best practices
* Communicate and work alongside members of their team in support of their day-to-day work items
* Works with business partners to ensure alignment between the ask and the output
* Participate and lead peer reviews and champion peer review best practices and culture
* Key player and leader in an Agile environment, participating in daily huddles, sprint planning, retrospectives, etc.
* Mentors junior team members in best practices and standards
* Serve as escalation point for other team members on technical issues
* Leads effort to create and document deployment and release plans
* Works with architects to evaluate new technologies and patterns that will inform the technology roadmap
* Leads Communities of Practices or other cross functional training opportunities
* Leads troubleshooting processes to determine root cause analysis
REQUIREMENTS:
* Bachelor's degree required; MBA or MS or equivalent a plus
* 7+ years of applied experience in data integration, ETL, and data management or comparable positions that handle large/complex data sets, developing automation, and fostering business partner relationships
* Expert in one or more of the following ETL tools such as Azure Data Factory, Informatica, Matillion, Fivetran and DBT
* Experience working with a diverse set of data sources such as Flat File, Database, API, Event Streaming
* Expert in SQL with knowledge of T-SQL
* Strong experience in data modeling, data warehousing, and MDM solutions
* Familiar with Azure Synapse or Snowflake
* Familiar with Databricks Delta Lake
* Familiar with a scripting language such as python, powershell, or bash
* Familiar with data lake design patterns
* Excellent written communication and presentation skills
* Proficient in understanding of data mapping and lineage strategies
* Proficient in understanding in conceptual, logical, and physical data design
* Proficient in understanding of data management practices, data architecture principles, and data governance process
Preferred Qualifications:
* Expert in Azure Data Factory, Data Bricks, and Python
* Strong dimensional modelling skills
* Familiarity with DevOps principles and processes
* Applied experience in Agile, SAFe, or Scrum
* Financial services industry experience or other highly regulated industry experience a plus
* Familiarity with data science and analytics tools such as Alteryx, SPSS, SAS, Tableau, PowerBI
Job Type: Contract
Schedule:
8 hour shift
Ability to commute/relocate:
Fort Worth, TX 76102: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Willing to work W2
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: In person
Show Less
Report",3.7,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Engineer,$65K - $93K (Glassdoor est.),Intralox4.3 ★,"New Orleans, LA","Intralox, L.L.C., a division of Laitram, L.L.C., and a global provider of conveyance solutions and services, has an opening for a Data Engineer/Power BI Developer within the Digital Solutions team. The Digital Solution (DS) team is leading Intralox’s implementation and evolution of our enterprise business applications and new digital solutions. DS is more than just an IT department – we are business domain experts, software developers, and operational support resources that use technology to bring more value to customers and Intralox.

Intralox is a division of Laitram, L.L.C., with an extensive portfolio of innovative conveyance solutions and services that improve lives and optimize businesses worldwide.

Our global workforce of over 3,000 employees in 20+ countries consist of reliable problem solvers, continuously developing and directly delivering solutions that have driven our customers’ growth worldwide for more than 50 years.

Intralox was founded on the principle of doing the right thing, by treating customers, employees, and suppliers with honesty, fairness, and respect. We invest heavily in these values and aim to practice our business philosophy principles every day, which is why we have been consistently recognized for innovation and workplace excellence. We believe in the power of a good idea no matter where it comes from, using trust as the foundation to how we work, and that self-managed people are our greatest asset.

Responsibilities:
Create and maintain optimal data pipeline architecture,
Assemble large, complex data sets that meet business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Microsoft ‘big data’ technologies.
Build analytics tools in Power BI that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Create and support data tools for analytics and business team members that assist them in building and optimizing our products and business processes.
Work with data and analytics experts to strive for greater functionality in our data systems.

Requirements:
Minimum 2 years of experience in a Data Engineer role.
Bachelor's degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field. A graduate degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field is preferred.
Advanced working knowledge of SQL and experience with relational databases, including query authoring (SQL). Additionally, familiarity with a variety of databases is desirable.
Proven experience in building and optimizing 'big data' data pipelines, architectures, and data sets.
Strong analytical skills for working with structured and unstructured datasets.
Proficiency in developing processes to support data transformation, data structures, metadata, dependency, and workload management.
Demonstrated success in manipulating, processing, and extracting value from large, disparate datasets.
Excellent project management and organizational skills.
Experience with or knowledge of the following software/tools or similar is required:
Big data tools: Hadoop, Spark, Kafka, etc.
Relational SQL and NoSQL databases.
Data pipeline and workflow management tools: Azure Data Factory.
Azure cloud services: VMs, Synapse Analytics, Data Factory, Azure SQL, Data Lake.
Object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Knowledge of Oracle EBS preferred.

EOE/M/F/Vet/Disabled
Show Less
Report",4.3,1001 to 5000 Employees,1971,Company - Private,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Data Engineer - Deep Learning,$125K - $150K (Employer est.),Flawless AI4.6 ★,"Santa Monica, CA","Flawless AI is an energetic, growing startup operating at the intersection of AI and film making.
Our technology uses generative AI to make it look like your favorite actor or actress is speaking another language, without subtitles or voice-overs, making it indistinguishable from the original performance.
It doesn’t matter where you live or what languages you speak, audiences can now experience authentic storytelling exactly as the filmmaker originally intended through the magic of automated visual translation.
We believe the most important breakthroughs in AI are unlocked only when we apply it to real-world use cases that reach millions of people and are generally available. This is our north star and guiding principle.
Ethical, licensed, and balanced data is central to our AI research. The data team is responsible for sourcing, annotating, curating, and deploying large multi-modal datasets within the film media domain. The data team works with core and applied ML, lighting, staging, engineering, and film innovation teams to understand data requirements and deliver high-quality datasets that power next-generation AI models. The team is also responsible for data versioning, data DevOps, and persistent storage.
Our work in automated visual translation is just the beginning, we’re developing countless exciting products based on the application of our proprietary, cornerstone research.
This is an unbelievable opportunity to join a team operating at the cutting edge of the generative revolution, don't hesitate, reach out today.
Qualifications
Minimum Requirements
Bachelor's degree in computer science, machine learning, computer vision, or a related field
2+ years of experience preparing large datasets for deep learning and neural network models
2+ years of experience writing and testing modularized, production-level Python code
Experience with deep learning frameworks such as PyTorch, Tensorflow, Keras, or MXNET
Experience building scalable ML pipelines for image and video modalities with tools such as Flyte, Prefect, AirFlow, or Kubeflow
Experience with data collection, labeling, cleaning, and generation with tools such as LabelBox, SuperAnnotate, Scale Ai, or V7
Preferred Requirements
MS in computer science, machine learning, computer vision, or a related field
Experience with CI / CD automation using tools such as GitHub Actions or GitLab
Experience setting up and configuring cloud infrastructure resources with tools such as Terraform or CloudFormation
Experience with various cloud data storage technologies on AWS, GCP, or Azure
Experience writing production-grade C++
Experience with audio, text, or 3D data modalities
Benefits
Autonomy - You'll own your work from start to finish
Influence - You'll impact major research decisions
Publication - You’ll be encouraged to publish your work
Learning - You’ll push the state-of-the-art with the best in the world
Impact - Your input genuinely matters
Hybrid office model
Stock Options
Comprehensive medical, dental, and vision insurance
401(k) plan
Your choice of equipment
Flawless is proud to emphasize an equal opportunity, safe environment for people to do their best work. We are committed to providing equal employment opportunities regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.
Show Less
Report",4.6,51 to 200 Employees,2018,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
Test Data Engineer,$50.00 - $53.00 Per Hour (Employer est.),TekwissenGroup,"Raleigh, NC",-1,4.6,-1,-1,-1,-1,-1,-1
Cloud Data Protection Engineer,$70.00 - $78.00 Per Hour (Employer est.),Cloud Destinations4.8 ★,Remote,"My name is Muralidharan and I’m working with Cloud Destinations LLC as a Technical Recruiter.
Below are the job details as needed by the hiring manager. Kindly advise if you might be interested and qualified for the below opportunity and if we can discuss further on this
Position: Cloud Data Protection Engineer
Duration: 12-24+ Months Contract
Location: Remote
They are open to having remote resources (would have to travel occasionally), and would prefer candidates based in Charlotte, NC, Islen, NJ, or Dallas, TX.
Cloud Data Protection Engineer is responsible for designing, engineering and implementing a new, cutting edge, cloud platform security for transforming our business applications into scalable, elastic systems that can be instantiated on demand, on cloud.
The role requires for the Engineer to design, develop, configure, test, debug and document all layers of the Cloud stack to satisfy the new big data system & Security requirements.
This is expected to range from Cloud hosting platform to the design and implementation of higher level services such as the IaaS, PaaS and SaaS layers, big data platform, Authentication/Authorization, Data encryption techniques (field level, db level, application layer encryption) masking tokenization techniques, and other security services.
The focus of this role is on the Security of the product and service for cloud big data platform, with understanding of ETL, data consumption and data migration security as well as data loss prevention techniques.
The ideal candidate should be comfortable being directly involved with the design, development, testing, and operation of the solutions that will be composed into the Cloud Services environment.
They will also provide comprehensive security consultation to business unit, IT management and staff at the highest technical level. Be able to conduct detailed threat analysis and identify mitigating security controls and solutions.
They will work closely with Cloud Services management to identify and specify complex business requirements and processes that drive the platform and application security Patterns and roadmap.
They will research and evaluate alternative solutions and make recommendations for changes that would enhance the security of the platform
Job Type: Contract
Salary: $70.00 - $78.00 per hour
Schedule:
8 hour shift
Experience:
Cloud Security: 10 years (Required)
IaaS, PaaS, SaaS: 4 years (Required)
Data Encryption: 5 years (Required)
Data Protection: 4 years (Required)
Data loss prevention: 5 years (Required)
Big data: 1 year (Required)
Work Location: Remote
Speak with the employer
+91 925-887-0055
Show Less
Report",4.8,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD)
Data Engineer W/ Pega,-1,Sunera Technologies3.8 ★,Remote,"Hi
We have a direct client requirement for Data Engineer W/ Pega @ Miami FL.
Role: Data Engineer W/ Pega
Location: Miami FL
Duration : Long Term
Bachelor’s degree in IT related areas.
•5 or more years of relational databases specifically Oracle, DB1 experience mandatory.
•5 or more years of SQL and PL/SQL query language experience mandatory.
•5 or more years of Unix experience mandatory.
•5 or more years of automating routine tasks via stored procedures mandatory.
•Previous experience with Pega required.
Experience writing and/or understanding SQL statements OR previous Campaign design and execution with a campaign management solution application is mandatory
Job Types: Full-time, Contract
Experience level:
9 years
Schedule:
8 hour shift
Work Location: Remote
Show Less
Report",3.8,1001 to 5000 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
Data Engineer,$74K - $105K (Glassdoor est.),Gorbel3.6 ★,"Victor, NY","Gorbel’s mission is simple: We improve people’s lives.
That mission guides everything we do, from the products and service we provide to our outside customers to the work environment we foster for our employees. We are a manufacturer of material handling and fall protection products for the production and warehouse/distribution sectors. We’re on the cutting edge of manufacturing and distribution; a thriving, growing company that is constantly seeking out new ways to innovate and elevate our products and our processes – and we’re looking for people like you to join us in that mission.
We’re currently hiring for open positions in the US and Canada. We operate in Canada as Engineered Lifting Systems and Equipment (ELS)/DBA Gorbel® Canada, and subsequent communication related to Canadian positions may show the ELS name. You may be contacted by phone by recruitment personnel based in either Canada or New York.
Work Shift:
Job Description:
The Data Engineer is responsible for working with interdepartmental stakeholders and the data scientist to transform business requirements into effective high-quality professional visualization for consuming analytics. This person must be a self-starter who is comfortable with ambiguity and has strong attention to detail. The Data Engineer performs the transformation, filtering, and aggregation of raw data into concise, accurate, and focused data models by using internal software capabilities to acquire, ingest, and transform big datasets. This position is also responsible for collaborating with cross-functional teams for generating insights and presenting findings to senior management or using data visualization and presentation programs to suggest business improvements. Also, supporting ad-hoc analyses and reports needed for business decisions, planning, and execution. The Data Engineer also implements scalable data services using serverless Azure resources such as Data Factory, Synapse, Databricks, Azure Functions, and traditional SQL. The Data Engineer is responsible for new database design, performance tuning, and advanced administration both On-premise and cloud.
RESPONSIBILITIES:
Create and maintain optimal data pipeline architecture with Azure Data Factory and SSIS.
Build Data Storage Solutions with SQL Servers, Azure SQL DB, and Data Lakes.
Translate reporting and business needs into a scalable and manageable data solution
Engage with data source platform leads to gain a tactical and strategic understanding of data sources required by Data Services AI/ML.
Ensure data extraction, transformation, and loading data meet data security & compliance requirements.
Engage with Information Technology and Software Engineering for database design, performance tuning, and advanced administration. Both On-premise and in the cloud.
Create, maintain, and store documentation that describes the ETL solutions process for future reference
Keeps a working knowledge of new technologies that can be leveraged to drive improvement in our data management processes
Assist with the development and implementation of best practices around data management to ensure the accuracy, validity, reusability, and consistent definitions for common reference data.
REQUIRED QUALIFICATIONS:
Bachelor’s degree or combination of relevant experience in Computer Science, Information Systems, or other related field.
3-5 Years experience with coding and application development experience with multiple programming languages such as Python, R, SQL, or similar scripting languages.
3-5 Years Hands-on experience with cloud orchestration, automation tools, and CI/CD pipeline creation using Azure DevOps.
Strong Understanding of data modeling, data warehousing, data lakes, and big-data concepts.
Proficient in using visualization technology, proficiency in DAX, and working knowledge of Power Query to produce large-scale visual analytics implementations, performance tuning, and optimization
Ability to meet tight deadlines with high quality requirements
WORK ENVIRONMENT:
ADA Physical/Mental/Workplace Requirements
Occasional lifting up to 25 lbs.
Sitting, working at desk/personal computer for extended periods of time
Primary work environment is professional corporate
Gorbel® is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, gender, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Gorbel® is also committed to providing reasonable accommodations to qualified individuals so that an individual can perform their job related duties. If you are interested in applying for an employment opportunity and require special assistance or an accommodation to apply due to a disability, please contact us at 585-924-6204.
Show Less
Report",3.6,201 to 500 Employees,1977,Company - Private,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD)
Data Engineer,$70.00 Per Hour (Employer est.),Tellus solutions3.7 ★,"Sunnyvale, CA","Job Description:
The role will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams.
The ideal candidate is an experienced data pipeline builder and data wrangler who enjoy optimizing data systems and building them from the ground up.
The Data Engineer will support our software developers, database architects, and data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products.
The right candidate will be excited by the prospect of optimizing or even re-designing our data architecture to support our next generation of products and data initiatives.
Responsibilities:
Create and maintain optimal data pipeline architecture for data intensive applications.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using Azure SQL, Cosmo DB, Databricks and other legacy databases.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Keep our data separated and secure across national boundaries through multiple data centers and Azure regions.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.
Qualifications for Data Engineer
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Extensive Experience on Databricks on Azure Cloud platform, deep understanding on Delta lake, Lake House Architecture.
Programming experience on Python, Shell scripting, PySpark, and other data programming language.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with Data Visualization Dashboard, Metrics and etc.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Skills:
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Working knowledge of message queuing, stream processing, and highly scalable 'big data' data stores.
Familiar with Deployment tool like Docker and building CI/CD pipelines.
Experience supporting and working with cross-functional teams in a dynamic environment.
8+ years' experience in software development, Data engineering, and
Bachelor's degree in computer science, Statistics, Informatics, Information Systems or another quantitative field. Postgraduate/master's degree is preferred.
Experience in Machine Learning and Data Modeling is a plus.
Job Type: Contract
Salary: Up to $70.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Schedule:
8 hour shift
Day shift
Application Question(s):
Only US Citizen and Green Card Holder
Experience:
Python, Shell scripting, PySpark: 5 years (Required)
Azure SQL: 5 years (Required)
Work Location: On the road
Show Less
Report",3.7,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Azure Data Engineer,$45.00 - $50.00 Per Hour (Employer est.),AppsIntegration Inc2.9 ★,Remote,"Position: Sr. Azure Data Engineer
Duration: 12+months
Location: 100% Remote
TOP 3:
Azure Data Engineer:
Must have ADF, Azure SQL, Spark
1) Support and refine Constellation’s data and analytics technology stack with an emphasis on improving reliability, scale, and availability. ADF, Spark
2) Assist in the design and management of enterprise grade data pipelines and data stores that will used for developing sophisticated analytics programs, machine learning models, and statistical methods.
3) Experience delivering data solutions via Agile methodologies and designing CI/CD workflows.
PRIMARY DUTIES AND ACCOUNTABILITIES
Item Accountability %
1 Create and maintain optimal data pipeline architecture 20
2 Assemble large, complex data sets that meet functional / non-functional business requirements. 20
3 Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. 20
4 Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Big Data technologies. 20
5 Deliver automation & lean processes to ensure high quality throughput & performance of the entire data & analytics platform.? 10
6 Work with data and analytics experts to strive for greater functionality in our analytics platforms. 10
POSITION SPECIFICATIONS
Minimum: Preferred:
Experience in building/operating/maintaining fault tolerant and scalable data processing integrations using Azure
Strong problem-solving skills with emphasis on optimization data pipelines
Excellent written and verbal communication skills for coordinating across teams
A drive to learn and master new technologies and techniques
Experienced in DevOps and Agile • Experience using Docker or Kubernetes is a plus
Demonstrated capabilities with cloud infrastructures and multi-cloud environments such as Azure, AWS, IBM cloud
environments and using CI/CD pipelines.
Experienced using Databricks & Apache Spark
Experienced using Azure Data Factory or Synapse Analytics
Job Type: Contract
Salary: $45.00 - $50.00 per hour
Compensation package:
Weekly pay
Experience level:
8 years
Schedule:
8 hour shift
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: Remote
Show Less
Report",2.9,1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD)
Data Engineer,$55K - $65K (Employer est.),NYC Office Of The Mayor4.0 ★,"New York, NY","Mayor’s Office of Immigrant Affairs
Position Title: Data Engineer

The Agency You’ll Join:
The NYC Mayor's Office administers all city services, public property, most public agencies, and enforces
all city, state, and federal laws within New York City. New York City’s Mayor, Eric Adams is head of the
executive branch of New York City's government. Mayor Adams has served the people of New York City
as an NYPD officer, State Senator, and Brooklyn Borough President. The Adams’ Administration is
leading the fight to make New York City’s economy stronger, reduce inequality, improve public safety,
and build a stronger, healthier city that delivers for all New Yorkers. As an agency, we value fairness,
helpfulness, transparency, leadership and build our teams around these values. For current job
opportunities visit our careers page

The Team You’ll Work With:
The Mayor’s Office of Immigrant Affairs (MOIA) was established pursuant to the New York City Charter to
promote the well-being of immigrant communities. To achieve this, MOIA serves as a bridge between city
government and immigrant communities; advises and assists in developing and implementing policies
designed to assist immigrants and speakers of languages; and supports and enhances the ability of city
agencies and offices to serve these immigrant populations. MOIA’s work cuts across a broad range of
issues citywide and MOIA works closely with cities around the country and the world to promote
innovations in immigrant access to services. To learn more, visit nyc.dov/site/immigrants/index.page

The Problems You’ll Solve
The Mayor’s Office of Immigrant Affairs is seeking a data engineer to be the tech lead on key projects,
including research, feasibility assessments, requirements gathering, solution development,
implementation planning, documentation creation, and roll-out of systems. Involves developing creative
solutions for challenges including disparate data, limited systems/resources, and understanding the City’s
policies for technology usage. Data analysis will focus on organizational performance more than
predictive analysis.
This role will act as the technical lead in the design and execution of systems implementations, will a ct
as lead for recommendations on technology solutions and approaches, and will provide data analysis
solutions for the office.
Responsibilities include, but not limited to:
Collaborate and coordinate with all MOIA teams to understand business requirements and
develop business solutions to meet these requirements.
Manage the planning, execution, and on-time delivery of assessments related to technology
solutions and approaches to data collection and visualization


Mayor’s Office of Immigrant Affairs
Make recommendation on technology platforms and solutions.
Monitor and track progress of solutions development.
Provide technical assistance and training to staff in the implementation of solutions.
Generate various project-related documents including technical guides, user guides, installation
guides, templates, and technical and maintenance documentation.
Initiate, facilitate, and participate in on-going meetings with project team members to ensure that
solutions meet business needs and continue to iterate on enhancements.
Provide first level support to MOIA staff for troubleshooting and addressing questions related to
use of implemented solutions.
Work with external agencies such as DoITT, the Department of Information Technology and
Telecommunication, and the Mayor’s Office MIS department, to communicate needs, track
progress of trouble tickets and enhancement request, and arrange priorities according to
resources.
Provide support in technology-related issues to the Director of Operations.
Resolve and/or escalate issues in a timely manner.
About You
High level of technical skills, including but not limited to advanced Excel and Power Query
High level of comfort with data-driven analysis, and skills necessary to present data and trends in
a useful manner
2 years of experience in advanced statistical analysis and data visualization using Power BI
2 years of experience in CRM systems (Microsoft Dynamics highly desirable).
3 years of experience in SQL creation and data manipulation
2 years of experience in HTML and JQuery
Experience with integration of data from multiple data sources
Experience with improving data reliability, efficiency and quality and ability to make
recommendations
Strong intuition for analytical methodologies and desire to solve novel technical challenges
Experience with BI frameworks and/or organization performance management analysis
Proficiency in designing efficient and robust ETL workflows
Excellent critical thinking and problem-solving skills with the ability to set priorities and hold staff
accountable on other teams for outcomes
Excellent communications skills, both written and verbal; training experience highly desired
Excellent organizational skills
Highly professional demeanor
Ability to work independently


Mayor’s Office of Immigrant Affairs
Patience, and the ability to navigate and work within a system in which many agency players
have input into technology decisions.
Ability to develop solutions that are not always obvious
A track record of effectively handling multiple priorities
Proven ability to work in a fast-paced environment and meet deadlines, and work productively
under pressure, both as an individual and as part of a team
Salary
The City of New York Office of the Mayor’s compensation package includes a market competitive salary,
equity for all full-time roles and exceptional benefits. Our cash compensation range for this role is
$ 55,000 – $ 65,000.
Final offers may vary from the amount listed based on candidate experience and expertise, and other
factors.

Equal Opportunity | Diversity Equity & Inclusion Statement
The Office of the Mayor is an is an inclusive equal opportunity employer committed to recruiting and
retaining a diverse workforce and providing a work environment that is free from discrimination and
harassment based upon any legally protected status or protected characteristic, including but not
limited to an individual's sex, race, color, ethnicity, national origin, age, religion, disability, sexual
orientation, veteran status, gender identity, or pregnancy.
The Adams Administration values diversity — in backgrounds and in experiences that is reflective of the
city it serves. Applicants of all backgrounds are strongly encouraged and welcome to apply.
If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable
accommodation if you are unable or limited in your ability to access job openings or apply for a job on
this site as a result of your disability. You can request reasonable accommodations by EEO at
EEO@cityhall.nyc.gov.

New York City Residency Is Required Within 90 Days of Appointment
Show Less
Report",4.0,Unknown,-1,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable
