Job Title,Salary Estimate,Company Name,Location,Job Description,Rating,Size,Founded,Type of ownership,Industry,Sector,Revenue
Junior Data Scientist,$79K - $112K (Glassdoor est.),"The Kenific Group, Inc2.6 ★","Washington, DC","Company Overview:
The Kenific Group, Inc. (KGI) is a private, small business based in the Washington, DC area. KGI was founded in 2011, initially providing acquisition and supply chain management services to the US Coast Guard. KGI has used this experience to expand our service offerings to other agencies within the Department of Homeland Security (DHS), the Department of Defense (DoD), and the U.S. Postal Service (USPS). In the past 10 years we have grown our service offerings to include infrastructure resiliency, contact center operations, information technology, software engineering, program management, strategic communications, engineering, and cybersecurity. We have also grown our customer base to include commercial clients.

Position Overview:
The Kenific Group is seeking a well-rounded Junior Data Scientist who is an expert in Optical Character Recognition (OCR). A successful candidate should be able to demonstrate technical proficiency with OCR and have a proven track record engineering software solutions to process and analyze unstructured data sets. He/she will be able to communicate clearly and effectively with engineers as well as less technical team members (e.g., project managers, customers, executive teams).
Responsibilities:
Inform product decisions by leveraging technical knowledge of OCR solution architectures and best practices.
Propose forward-thinking ideas in support of data-centric product development.
Develop OCR code using preferred programming languages to support client requirements.
Contribute to solutions that combine data science and artificial intelligence/machine learning (AI/ML) to integrate predictive models.
Work within a growing engineering team to support software and systems solutions across customers and projects.
Collaborate with team leads/members to design and develop solutions that exceed customer expectations.
Requirements:
Experience in computer vision and deep learning projects (OCR, NLP, etc.)
Deep expertise in deep learning techniques and algorithms.
Expertise in ML frameworks, PyTorch, Tensorflow, Keras, NumPy, Pandas.
Excellent programming skills in Python.
Collecting training models with real-world data.
Ability to understand, analyze and interpret data/results.
Ability to analyze new problems, logically explain solutions.
Nice to have experience in optimizing models for edge processing.
Technically proficient in OCR and associated technologies, programming languages, and system architectures
Well-rounded and willing to learn and contribute meaningfully across all technical areas of our projects.
Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline
3-5 years professional, hands-on experience in a data engineering (specifically OCR-related) role
U.S. citizenship required - must be able to obtain DoD Secret Clearance.
Excellent communication skills with the ability to interact clearly and succinctly in written and oral presentations.
Detail-oriented, self-motivated, and organized
Preferred Skills:
AWS (Amazon Web Services) and/or Microsoft Azure. Certification(s) a plus.
Working knowledge of Agile Scrum methodology
JIRA/Confluence
SQL, relational and non-relational databases such as MongoDB, Cosmos DB
Working knowledge of NLP and OCR and more Deep Learning algorithms
Python, C#
Work Location:
Remote

We are proud to offer a highly competitive compensation and benefits package to our employees and have created a highly flexible work environment to allow us to use a geographically distributed work force around the country by maximizing use of technology and prioritizing communications.
This employer uses E-Verify. EOE including disability/vets.
Medical/vision/dental; company-paid life and AD&D with opportunity to increase via payroll deduction; company-paid short- and long-term disability; 401(k) with matching; WMATA SmartBenefits
Show Less
Report",2.6,51 to 200 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD)
Data Scientist,$83K - $116K (Glassdoor est.),NICE4.0 ★,"Atlanta, GA","At NICE, we don't limit our challenges. We challenge our limits. Constantly. We're relentless. We're ambitious. And we make an impact. Our NICErs bring their A game and spend each day turning it into an A+. And if you're like us, we can offer you the kind of challenge that will light a fire within you.
At NICE, Data Scientists serve as subject matter experts on the application of statistics and machine learning in NICE CXOne products. Data Scientists conduct research, create internal and external software products, and execute and fine-tune existing methodology. Our goal is to help our clients better understand the conversations between their customers and contact centers and ultimately improve their customers' experiences.
As a Data Scientist, one of your focus areas will be working on machine learning solutions that identify who the best representative is for a given customer. NICE's vast store of interaction information, including call transcripts and customer behavior data, provides a fruitful dataset for the data science team.
You will also play a vital role in enhancing our contact center solutions through the development of advanced NLP algorithms and models. You will work in a collaborative team environment to explore and create solutions to industry problems using state-of-the-art large language models. This role provides ample opportunity for innovation and to flex and improve your optimization, customer segmentation, and NLP skills.

RESPONSIBILITIES
Explore high-level, undefined ideas and business problems using structured and unstructured data
Communicate research findings, technical concepts, and model recommendations effectively to technical and non-technical stakeholders
Develop product offerings through careful consideration of business value and data analysis
Collaborate closely with business stakeholders to ensure model effectiveness and alignment with business objectives
Improve internal processes and tools to increase efficiency
Stay abreast of the latest advancements in NLP research and contribute to the development of our knowledge base
Spur future product innovation

REQUIRED EXPERIENCE AND ABILITIES
3+ years of data science work experience using real-life (""industry"") data
Degree with a concentration in a quantitative discipline
Advanced knowledge of statistics
Advanced knowledge of a variety of Machine Learning algorithms
Familiarity with relational databases and query languages (e.g. MSSQL)
Excellent proficiency in programming (Python, R, etc.)
Strong research skills, with a proven track record of developing and implementing Machine Learning algorithms
Excellent verbal and written communication and presentation abilities

NICE TO HAVES
Experience deploying models in production environments, ensuring scalability and performance
Experience with building and/or fine-tuning large language models
Experience with Docker, Kubernetes, AWS tools
Past participation in a formal research setting

BE YOU
We are all different and that is powerful. Variability fuels our business and unites our work. It teaches us that strength lies in differences. To see what matters is our culture, and our culture starts with you.
Your different perspectives inspire us to be better. Your diversity fosters creativity and accelerates our innovation. Your unique skills and abilities make us stand out. Your background and experiences help us reach our full potential.
We are committed to a workplace that is increasingly diverse and inclusive, so be your best you.

WHAT YOU CAN EXPECT
NICE values diversity amongst its employees. Employees from all levels of experience and backgrounds are mingled together and are encouraged to learn about projects others are working on.

Studies have shown that certain groups are less likely to apply for jobs unless they believe they meet every one of the qualifications as described in a job description. Our top priority is finding the best candidate for the job and if you are interested in this position, we encourage you to apply even if you don't believe you meet every one of the qualifications described

Sponsorship currently not offered

NICE Systems is an Equal Opportunity/Affirmative Action Employer, M/F/D/V.

About NICE
NICE Ltd. (NASDAQ: NICE) software products are used by 25,000+ global businesses, including 85 of the Fortune 100 corporations, to deliver extraordinary customer experiences, fight financial crime and ensure public safety. Every day, NICE software manages more than 120 million customer interactions and monitors 3+ billion financial transactions.
Known as an innovation powerhouse that excels in AI, cloud and digital, NICE is consistently recognized as the market leader in its domains, with over 8,500 employees across 30+ countries.
NICE is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, age, sex, marital status, ancestry, neurotype, physical or mental disability, veteran status, gender identity, sexual orientation or any other category protected by law.
Apply Now: click Easy Apply
Show Less
Report",4.0,5001 to 10000 Employees,1986,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
Data Scientist,-1,Brightside Health4.2 ★,Remote,"Data Scientist - Brightside Health - 100% Remote in U.S.
Brightside Health delivers life-saving virtual mental healthcare to everyone who needs it. We are powered by proprietary AI, purpose-built technology, a world-class clinician network, and a care model that rivals the best of in-person treatment. When combined with precision psychiatry and leading-edge therapeutic techniques, we’re able to improve outcomes for those with mild-to-severe clinical depression, anxiety, and other mood disorders.
We take an action-oriented, purposeful approach with everything we do and seek out team members who value collaboration and thoughtful prioritization. As a result, our organization is looking for the brightest and most innovative talent in the industry. We can promise you that, as a member of the Brightside team, you’ll have the opportunity to collaborate alongside smart and driven people while growing your professional skills.
We are seeking a talented junior level Data Scientist to join our team. The Brightside Data Science Team is responsible for all data science work, including member growth, operations, clinical decision support, marketing, etc. As a Data Scientist, you will be responsible for developing and implementing advanced analytical and machine learning models that drive business value and support the experience of Brightside Health’s patients, clinicians, and internal teams. The ideal candidate will not only be strong technically, but will also be excited about our data, be passionate about healthcare, have a product / problem solving mindset, and value clear communication and building relationships.
What you’ll be doing as a Data Scientist:
Collaborate with senior data scientists in the development and implementation of advanced analytic and machine learning models to explain or predict the behavior, experience and outcomes of patients, clinicians, and the business
Work with cross-functional teams to understand business needs
Gather, clean and transform complex data from various sources
Validate and evaluate model performance, ensuring accuracy and reliability
Communicate results to technical and non-technical stakeholders
Requirements:
2-3 years of relevant data science, analytics or machine learning experience
Solid understanding of data analysis techniques, statistical concepts, and machine learning algorithms
Proficiency in Python and SQL
Experience with common data science libraries and frameworks (e.g. pandas, NumPy, scikit-learn)
Familiarity with working in a cloud environment (e.g. Google Cloud Platform), Git, and data visualization frameworks (e.g. Plotly Dash) are a plus
Highly motivated and eager to learn and grow in a fast paced environment
Passionate about improving healthcare
Tools we use:
Python, including common ML packages like NumPy, Scikit-Learn, Pandas, Tensorflow, etc.
AWS and GoogleCloud environments
SQL
GitHub
Benefits:
A competitive salary:
Stock options so you have equity
Fully paid for comprehensive health care (medical, dental, vision)
Pet Insurance
Life Insurance & Short / Long Term Disability
401k Plan
Unlimited PTO and sick leave
Parental Leave
Work remotely and whatever schedule works best for you
Additional memberships and perks
Final offer amounts are determined by multiple factors including geographic location as well as candidate experience and expertise. If you have questions on compensation bands, please ask your recruiter.
Brightside Health is committed to equal employment opportunities for all team members. Every decision we make regarding employment is solely based on merit, competence, and performance. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. We realize the full promise of diversity and want you to bring your whole self to work every single day.
Research shows that underrepresented groups typically apply only if they meet 100% of the criteria listed. At Brightside, we are dedicated to fair play and encourage women, people of color, and LGBTQ+ job seekers to apply for positions even if they don’t check every box for the role.

We know that diversity makes for the best problem-solving and creative thinking, and are committed to equity and inclusion. We are dedicated to adding new perspectives to the team and encourage everyone to apply if your experience is close to what we are looking for. We’re an Equal Opportunity Employer and do not discriminate on the basis of race, color, gender, sexual orientation, gender identity or expression, age, religion, disability, national origin, protected veteran status, or any other status protected by applicable federal, state, or local law.
cnBpowuyy5
Apply Now: click Apply Now
Show Less
Report",4.2,51 to 200 Employees,2017,Self-employed,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Engineer - Deep Learning,$125K - $150K (Employer est.),Flawless AI4.6 ★,"Santa Monica, CA","Flawless AI is an energetic, growing startup operating at the intersection of AI and film making.
Our technology uses generative AI to make it look like your favorite actor or actress is speaking another language, without subtitles or voice-overs, making it indistinguishable from the original performance.
It doesn’t matter where you live or what languages you speak, audiences can now experience authentic storytelling exactly as the filmmaker originally intended through the magic of automated visual translation.
We believe the most important breakthroughs in AI are unlocked only when we apply it to real-world use cases that reach millions of people and are generally available. This is our north star and guiding principle.
Ethical, licensed, and balanced data is central to our AI research. The data team is responsible for sourcing, annotating, curating, and deploying large multi-modal datasets within the film media domain. The data team works with core and applied ML, lighting, staging, engineering, and film innovation teams to understand data requirements and deliver high-quality datasets that power next-generation AI models. The team is also responsible for data versioning, data DevOps, and persistent storage.
Our work in automated visual translation is just the beginning, we’re developing countless exciting products based on the application of our proprietary, cornerstone research.
This is an unbelievable opportunity to join a team operating at the cutting edge of the generative revolution, don't hesitate, reach out today.
Qualifications
Minimum Requirements
Bachelor's degree in computer science, machine learning, computer vision, or a related field
2+ years of experience preparing large datasets for deep learning and neural network models
2+ years of experience writing and testing modularized, production-level Python code
Experience with deep learning frameworks such as PyTorch, Tensorflow, Keras, or MXNET
Experience building scalable ML pipelines for image and video modalities with tools such as Flyte, Prefect, AirFlow, or Kubeflow
Experience with data collection, labeling, cleaning, and generation with tools such as LabelBox, SuperAnnotate, Scale Ai, or V7
Preferred Requirements
MS in computer science, machine learning, computer vision, or a related field
Experience with CI / CD automation using tools such as GitHub Actions or GitLab
Experience setting up and configuring cloud infrastructure resources with tools such as Terraform or CloudFormation
Experience with various cloud data storage technologies on AWS, GCP, or Azure
Experience writing production-grade C++
Experience with audio, text, or 3D data modalities
Benefits
Autonomy - You'll own your work from start to finish
Influence - You'll impact major research decisions
Publication - You’ll be encouraged to publish your work
Learning - You’ll push the state-of-the-art with the best in the world
Impact - Your input genuinely matters
Hybrid office model
Stock Options
Comprehensive medical, dental, and vision insurance
401(k) plan
Your choice of equipment
Flawless is proud to emphasize an equal opportunity, safe environment for people to do their best work. We are committed to providing equal employment opportunities regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.
Show Less
Report",4.6,51 to 200 Employees,2018,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
Data Scientist,$45.96 - $68.95 Per Hour (Employer est.),Scripps Health3.9 ★,"San Diego, CA","Scripps Health Administrative Services supports our five hospitals and 19 outpatient facilities, which treat half a million patients annually through 2,600 affiliated physicians.
At Scripps Health, you will experience the pride, support, respect that has been repeatedly recognized as one of the nation’s Top 100 Places to work.

You’ll be surrounded by people committed to making a difference in the lives of their patients and their teammates. So if you’re open to change, go ahead and unlock your potential.
The Data Scientist will provide advanced, integrated analytics in support of organizational objectives. Source, manage, and analyze large amounts of unstructured data; synthesize and communicate results to facilitate data-driven decision making. Partner with internal and external constituents to understand key requirements, plan and execute projects, and produce actionable data to support strategic initiatives and drive continuous performance improvement. Design data modeling processes, create algorithms and predictive models to extract key data, and analyze the data and share insights with clinical, operational, and business stakeholders. The right candidate will have a passion for discovering solutions hidden in large data sets and working with customers to improve outcomes and performance.
We are looking for a sharp, strong communicator with a high degree of emotional intelligence who can provide strategic and technical input alongside excellent customer service.
This is a full-time, hybrid position located in San Diego and offers Scripps Health’s award-winning benefit package.
Required Education/Experience/Specialized Skills:
Bachelor's degree.
Experience with different healthcare data sources (medical claims, authorizations, pharmacy, provider, membership).
Experience with statistical modeling and interpretations of complex data.
Experience in analyzing any of the following: Medical expenses & utilization trends, RAF Scores, Comorbidities & disease burden, Healthcare quality measures.
Excellent critical and analytical thinking, customer service skills, and strong written and verbal communication skills.
Experience in R, Python, or SAS programming.
Intermediate knowledge of SQL, ETL, data modeling, and reporting technologies.
Intermediate knowledge of Power BI or Tableau.
Must have knowledge and skills necessary to explain complex concepts to team members and leadership.
Ability to work both independently and collaboratively as part of a team.
Preferred Education/Experience/Specialized Skills/Certification:
Master's Degree in related field (Data Science, Quantitative, Clinical, or Engineering).
Experience in working with financial datasets (e.g., accounting, health plan claims, P&L).
Prior experience with Epic data structures and reporting environments.
Experience in predictive modeling for clinical intelligence.
Experience in market intelligence and financial projections.
Background or interest in AI, machine learning intelligence.
Scripps Health is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex (including pregnancy, sexual orientation, or gender identity/expression), age, marital status, status as a protected veteran, among other things, or status as a qualified individual with disability.
Position Pay Range: $45.96-$68.95/hour
Show Less
Report",3.9,10000+ Employees,1924,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
Data Scientist,$100K - $110K (Employer est.),Ipsos3.6 ★,"San Francisco, CA","About The Center for Analytics Excellence (CAE):
The Center for Analytics Excellence (CAE) is a uniquely positioned group within Ipsos. We leverage the latest data science approaches to develop analytic tools and perform analyses for both clients and internal teams, respond to advanced analytic requests, and consult on a broad range of statistical, data, and research best practices. Working in a collaborative and supportive environment, we seek to expand what is possible in market research with data science.
What makes this role important at Ipsos?
We are seeking a Data Scientist with a working knowledge of mathematics and statistics, and a passion for developing innovative approaches to deriving insights from diverse data sources. The ideal candidate is knowledgeable about a wide variety of data science domains and enthusiastic about exploring new ones to answer difficult analytic questions. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. An ability to work with others and communicate technical concepts to non-specialists is essential to this role.
What you can expect to be doing:
Support a diverse portfolio of projects across Ipsos NA including predictive modeling, text analytics, data mining, exploration, regression, and time series analyses.
Design, train, and utilize machine learning algorithms and data processing pipelines.
Work with stakeholders to identify key metrics and opportunities for improving business processes, products, and services.
Research and develop new solutions and deployable tools to facilitate market research.
Communicate with and provide consulting for internal teams and external clients on data models, analysis findings, process efficiency, and marketing science best practices.
Create data visualizations, reports, and sometimes dashboards.
Stay abreast of the latest data science techniques and tools available.
This might be the job for you if you have:
Bachelor’s degree (or equivalent) in statistics, computer science, or related field
Proficiency in Python and SQL
Strong technical communication skills
Proficiency in data mining, statistical analysis, time series analysis, and machine learning
Proficiency with data science toolkits (e.g., NumPy, Pandas, SciKit Learn, SciPy, etc.)
Experience with data visualization tools (e.g., MatPlotLib, Plotly, Tableau, D3.js, etc.)
Good time management, collaboration, and self-sufficiency skills
Nice to haves:
Proficiency in R, JavaScript
Experience with natural language processing, large language models, geospatial analysis, and neural networks
Experience with cloud computing platforms (AWS, GCP)
Experience with big data technologies (Spark, Hadoop, etc.)
Project management experience
If you don’t meet 100% of the requirements, we encourage all who feel they might be a fit for the opportunity to apply. We may consider a variety of backgrounds for a particular role and are also committed to considering candidates for available positions throughout our organization, not just the one you’re applying to!
In accordance with NY/CO/CA/WA law, the estimated base salary range for this role is $100,000 to $110,000. Your final base salary will be determined based on several non-discriminatory factors which may include but are not limited to location, work experience, skills, knowledge, education and/or certifications.
What’s in it for you:
At Ipsos you’ll experience opportunities for Career Development, an exceptional benefits package (including generous PTO, healthcare plans, wellness benefits), a flexible workplace policy, and a strong collaborative culture.
To find out more about all the great reasons to work at Ipsos, how we’re making an impact around the world, and more about our benefits and employee programs, please visit:
Why Work at Ipsos | US
Commitment to Diversity
Ipsos recognizes the necessity of building an inclusive culture that values each employee’s individuality and diverse perspectives. For more than 40 years, our mission has been to generate and analyze data about society, markets, brands, and behaviors to provide our clients with the insights that elevate their understanding of the world. This could not be fulfilled without Ipsos’ diverse employees who compile and analyze this data—they are the essence of who we are and what we do.
We are committed to providing equal opportunity to all employees, creating an environment that promotes inclusion, and enabling employees from all walks of life to flourish. Ipsos encourages our employees to act in a respectful and responsible manner, in line with code of best practices concerning diversity and inclusion, human rights, equality, and civility for every individual.
Ipsos is An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or any other protected class and will not be discriminated against on the basis of disability.
#LI-AE1 #LI-Remote
Show Less
Report",3.6,10000+ Employees,1975,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD)
Data Scientist,$90K - $131K (Employer est.),Munich Re America4.2 ★,"New York, NY","Data Scientist
Company
Munich Re America
Location
New York , United States
The Company

Munich Re Specialty Insurance (MRSI) provides extensive, specialty property and casualty insurance solutions to customers through select brokers, Managing General Agents, program administrators, cover holders and insurtech partners. Products include: property, casualty, professional liability and other specialty insurance solutions. Our comprehensive, customized solutions are provided by A+ rated carriers and are tailored to clients’ needs. We offer superior service levels, industry-recognized underwriting and claims expertise and innovative approaches to complex and evolving risks.

Munich Re Specialty Insurance (MRSI) is a description for the insurance business operations of affiliated companies in the Munich Re Group that share a common directive to offer and deliver specialty property and casualty insurance products and services in North America. For more information on MRSI, including licensing, regulatory-required, and other information on the operating companies, visit https://www.munichre.com/us-non-life/en/general/munich-re-specialty-insurance-disclosures.html.

We’re adding to our diverse team of experts and are looking to hire those who are committed to building a culture that enables the creation of innovative solutions for our business units and clients. We will consider a range of relevant insurance experience for this role and the offer will be commensurate with that.

The Opportunity
Future focused and always one step ahead

Key to the achievement of our goals to become a digital enterprise which leverages data analytics in order to make decisions about current and future risks, you’ll be empowered and expected to support and add to our culture of innovation and the vision for the future of Insurance.

The MRSI analytics team is tasked with exploring innovative uses of data to expand our understanding of risk and deliver key insights.

We are looking to add an experienced Data Scientist to our team in our New York City or Princeton, New Jersey office location.

This role will be responsible to:

Work under the guidance of more senior data science staff on data analysis and modeling projects. Ensure the appropriate modeling and analytic methodologies are applied within the scope of a given project.
Work on small scale or ad hoc data science projects independently. Ensure work is reviewed by more senior data scientists before submission to business partners.
Work closely with data operations and business technology teams to deploy models and data products at scale.
Analyze and extract preliminary insights from data
Prepare and complete complex data analysis and modeling
Document and communicate assumptions, results and alternatives to team members and business partners
Create pipelines for wrangling large, complicated datasets from different sources and formats
Research and develop analytical tools appropriate to support robust business decisions and expand our analytic capabilities

Qualifications include:

2+ years of professional experience, re/insurance experience preferred
2+ years of hands-on Python or R experience with strong data exploration and manipulation skills
Bachelor's degree in Computer Science, Statistics, Math or equivalent combination of education and experience preferred
Strong conceptual understanding of statistical methods applied to real-world data, including the ability to identify and articulate data and modeling issues
Experience with Git, SQL, business intelligence tools, and cloud platforms
Demonstrated ability to experiment with and learn new technologies
Self-starter with a high level of intellectual curiosity and dedication
Able to build a sense of trust and rapport that creates an effective workplace

The Company is open to considering candidates in NYC. The salary range posted below applies to the Company’s NYC location.

The base salary range anticipated for this position is $89,600 to $131,300, plus opportunity for company bonus based upon a percentage of eligible pay. In addition, the company makes available a variety of benefits to employees, including health insurance coverage, an employee wellness program, life and disability insurance, 401k match, retirement savings plan, paid holidays and paid time off (PTO).

The salary estimate displayed represents the typical salary range for candidates hired in this position in NYC. Factors that may be used to determine your actual salary include your specific skills, how many years of experience you have and comparison to other employees already in this role. Most candidates will start in the bottom half of the range.

At Munich Re US, we see Diversity and Inclusion as a solution to the challenges and opportunities all around us. Our goal is to foster an inclusive culture and build a workforce that reflects the customers we serve and the communities in which we live and work. We strive to provide a workplace where all of our colleagues feel respected, valued and empowered to achieve their very best every day. We recruit and develop talent with a focus on providing our customers the most innovative products and services.

We are an equal opportunity employer. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Apply now!
Show Less
Report",4.2,10000+ Employees,1880,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist,$91K - $125K (Glassdoor est.),Hyperspace Ventures4.2 ★,"Durham, NC","Durham, NC | Austin, TX | Remote | Full Time
Data Scientist
We're looking for Data Scientists to work on our core and business products to help shape the future of what we build at Hyperspace Ventures. You will enjoy working with various data sets, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.

Responsibilities:
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches
The Data Scientist Analytics role has work across the following four areas:

Product Operations
Forecasting and setting product team goals
Designing and evaluating experiments
Monitoring key product metrics, understanding root causes of changes in metrics
Building and analyzing dashboards and reports
Building key data sets to empower operational and exploratory analysis
Evaluating and defining metrics

Exploratory Analysis
Proposing what to build in the next roadmap
Understanding ecosystems, user behaviors, and long-term trends
Identifying new levers to help move key metrics
Building models of user behaviors for analysis or to power production systems

Product Leadership
Influencing product teams through presentation of data-based recommendations
Communicating state of business, experiment results, etc. to product teams
Spreading best practices to analytics and product teams

Data Infrastructure
Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica
Automating analyses and authoring pipelines via SQL and python based ETL framework

Minimum Qualifications:
2+ years experience doing quantitative analysis
BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field
Experience in SQL or other programming languages
Development experience in any scripting language (PHP, Python, Perl, etc.)
Experience communicating the results of analyses with product and leadership teams to influence the strategy of the product
Knowledge of statistics (e.g., hypothesis testing, regressions)
Experience manipulating data sets through statistical software (ex. R, SAS) or other methods

Preferred Qualifications:
Advanced degrees
Experience with distributed computing (Hive/Hadoop)
Show Less
Report",4.2,1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$93K - $178K (Employer est.),rds3.6 ★,"Seattle, WA","Job Summary
We are seeking a Data Scientist to work on a Generative AI initiative to join our team. The ideal candidate will have a deep understanding of language models, text-to-image, and other generative AI models. They must possess knowledge of Python, and machine learning frameworks.
Responsibilities
Develop and implement generative AI models, including LLMs, text-to-image and generative AI models.
Train and evaluate models using large datasets.
Troubleshoot and debug code to ensure high-quality results.
Keep up to date with the latest developments in the field of generative AI and apply relevant new knowledge to the company's AI projects.
Deep understanding of how to scale models and their limitations. Ability to quickly identify opportunities for model improvement
Use predictive modeling to enhance and optimize customer experiences, revenue generation, ad targeting, and other business outcomes.
Collaborate with different teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Lead all data experiments under the iterative testing framework.
Engage with stakeholders to understand business challenges and develop data-driven solutions.
Conduct advanced data analysis and design highly complex algorithmic models.
Communicate complex quantitative analysis in a clear, precise, and actionable manner.
Requirements
Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
2+ years of experience in developing and training AI/ML models.
Experience with data querying languages like SQL, scripting languages like Python, and/or statistical/mathematical software e.g. R
Knowledge of state-of-the-art generative AI models such as GPT-3, DALL-E, and CLIP.
Experience with Cloud infrastructure and Platforms - Azure /GCP/AWS
Experience with training and evaluating large-scale models on high-performance computing clusters.
Strong understanding of deep learning, natural language processing, and computer vision.
Excellent problem-solving skills and ability to work independently and in a team environment.
Preferred Qualifications:
Bachelor's or master's degree in computer science, Data Science, Statistics, Math, Physics, or other Science related discipline with course work in AI/ML.
Demonstrated experience in developing and training AI models
Strong knowledge of deep learning, natural language processing, and computer vision.
Experience with scaling up generative models and deploying them in production environments.
Ability to work collaboratively in a team environment and communicate complex technical concepts to non-technical stakeholders.
Job Type: Contract
Salary: $92,742.72 - $177,557.84 per year
Schedule:
8 hour shift
Experience:
Data Scientist: 8 years (Preferred)
AI models: 5 years (Preferred)
Work Location: On the road
Speak with the employer
+91 09088785730
Show Less
Report",3.6,Unknown,-1,Subsidiary or Business Segment,Broadcast Media,Media & Communication,Unknown / Non-Applicable
Marketing Data Scientist,$153K - $169K (Employer est.),Sephora3.6 ★,"San Francisco, CA","Job ID: 230380
Location Name: FSC REMOTE SF/NY/DC -173(USA_0173)
Address: FSC, San Francisco, CA 94105, United States (US)
Job Type: Full Time
Position Type: Regular
Job Function: Marketing
Remote Eligible: Yes

Company Overview:
At Sephora we inspire our customers, empower our teams, and help them become the best versions of themselves. We create an environment where people are valued, and differences are celebrated. Every day, our teams across the world bring to life our purpose: to expand the way the world sees beauty by empowering the Extra Ordinary in each of us. We are united by a common goal - to reimagine the future of beauty.

The Opportunity:
Your role at Sephora:
As Marketing Data Scientist at Sephora, you will: Develop and implement analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Develop data insights regarding improving marketing investments and business results. Analyze information from large structured and unstructured datasets. Work closely with marketing functions including Media Strategy, Creative, and Consumer Market Insights along with the investment strategy team financial planning and analysis, and external partners to manage efforts from end-to-end. Responsible for ensuring strategic and tactical marketing decisions are informed by data-driven insights. Develop customized Marketing Mix Modeling (MMM) projects involving specialized, nested regression models, forecasting/optimization, building dashboards, and presentations. Aggregate data sets from various database and publishers. Perform inferential statistical analysis in R statistical language to estimate marketing channel impact on sales and new customer acquisition. Position allows some work-from-home flexibility, with schedule to be approved by manager. Must be able to work on site as required.

Minimum Requirements:
Master’s or foreign equivalent degree in Statistics, Economics, or a related field.
Two (2) years of experience in a statistical analysis and media research for retail marketing metrics role.
Experience must include:
Excel
PowerPoint
Crimson Hexagon
Adobe Analytics
Marine Marketing tools
Tableau
Power BI
Programming with R, SAS, VBA, Python, and SQL
Predictive analysis
Data mining
Optimization
Forecasting
Clustering and classification
Regression
Data envelopment analysis

Rate of Pay: $153,088 to $169,000 per year.

While at Sephora, you’ll enjoy…

The people. You will be surrounded by some of the most talented leaders and teams – people you can be proud to work with.
The learning. We invest in training and developing our teams, and you will continue evolving and building your skills through personalized career plans.
The culture. As a leading beauty retailer within the LVMH family, our reach is broad, and our impact is global. It is in our DNA to innovate and, at Sephora, all 40,000 passionate team members across 35 markets and 3,000+ stores, are united by a common goal - to reimagine the future of beauty.

You can unleash your creativity, because we’ve got disruptive spirit. You can learn and evolve, because we empower you to be your best. You can be yourself, because you are what sets us apart. This, is the future of beauty. Reimagine your future, at Sephora.

Sephora is an equal opportunity employer and values diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, ancestry, citizenship, gender, gender identity, sexual orientation, age, marital status, military/veteran status, or disability status. Sephora is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities.

Sephora will consider for employment all qualified applicants with criminal histories in a manner consistent with applicable law.
To apply to this job, click Apply Now
Show Less
Report",3.6,10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD)
