Job Title,Salary Estimate,Company Name,Location,Job Description,Rating,Size,Founded,Type of ownership,Industry,Sector,Revenue
Software Engineer 1 - Machine Learning,$101K - $157K (Glassdoor est.),Abacus.AI4.9 ★,"San Francisco, CA","Responsible for implementing various algorithms to do automated feature extraction and dataset augmentation, optimizing runtimes of neural network algorithms and building higher-level abstractions for various common AI/ML techniques. As an ML engineer, they will also work cross functionally amongst other engineers, on common ML operation tasks such as ML data management and training and model deployment, as well as build systems that are scalable.
Candidates will need to have a BS in computer science from an accredited university. In addition, we’re looking for engineers who have the following:
Working knowledge of software engineering - through job experience or coursework. Experience with Python preferred
Have at least 6 months of professional work experience in one of the following: ML/AI models in production, neural network algorithms, performance optimization of deep learning systems.
Coursework or work experience with machine learning algorithms such as classifiers, anomaly detection, and clustering
Show Less
Report",4.9,51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Engineer I, Machine Learning",$93K - $136K (Glassdoor est.),Alltrna,"Cambridge, MA","About Alltrna
Flagship Pioneering has conceived of and created companies such as Moderna Therapeutics (NASDAQ: MRNA), Editas Medicine (NASDAQ: EDIT), Omega Therapeutics (NASDAQ: OMGA), Seres Therapeutics (NASDAQ: MCRB), and Indigo Agriculture. Since its launch in 2000, Flagship has applied its unique hypothesis-driven innovation process to originate and foster more than 100 scientific ventures. In 2021, Flagship Pioneering was ranked 12th globally on Fortune's ""Change the World"" list, an annual ranking of companies that have made a positive social and environmental impact through activities that are part of their core business strategies.
Alltrna is the world's first tRNA platform company to decipher tRNA biology and pioneer tRNA therapeutics to treat thousands of diseases. Alltrna unlocks tRNA biology to correct disease. The company's platform incorporates AI/ML tools to learn the tRNA language and deliver diverse programmable molecules with broad therapeutic potential. Alltrna has an unprecedented opportunity to advance a single tRNA medicine to unify treatment across a wide range of diseases with the same underlying genetic mutation. Alltrna was founded in 2018 by Flagship Pioneering. For more info, visit www.alltrna.com.
About The Role
At Alltrna, we pair high throughput experimental approaches with predictive models to drive and accelerate the development of novel RNA-based therapeutics. We are seeking an innovative, collaborative, and highly motivated ML engineer to join our experienced team in expanding our drug design platform. As a engineer in our Computational & Molecular Biology team, you will work closely with fellow data scientists and molecular biologists to develop and hone sequence-to-function models that leverage in-house assay data. This is a great opportunity for an early career computer scientist, data scientist, or computational biologist to gain end-to-end industry experience in the blooming field of RNA drug discovery from developing and benchmarking algorithms, to training models on in vitro data, and ending in production models that can be used to explore novel compounds.
Core Responsibilities
Developing machine learning models on in vitro sequence-activity measurements
Perform hyperparameter optimization and benchmarking on in-house datasets to evaluate model performance
Support explanatory analyses that promote understanding of model features and design strategies.
Communicate results within and outside Alltrna's Computational Biology team and participate in scientific discussions
Qualifications and skills
Has a graduate degree in Computer Science, Computational Biology, Bioinformatics, Statistics, Mathematics, Physics, or another quantitative field (MS or PhD)
Fluent in Python (+ Pandas, Numpy) and at least one common ML library (TensorFlow/Keras, PyTorch, scikit-learn, etc.)
Familiar with code management (version control/Git, unit tests, Jupyter notebooks, docstrings)
Good verbal, communication, and collaboration skills
Preferred Qualifications:
Experience with one or more of the following deep learning architectures: Transformers, GNNs, VAEs, or GANs
Comfortable working in a cloud-computing environment (AWS, GCP).
Prior experience with hyperparameter optimization and evaluation of machine learning algorithms
Prior model development experience in a research setting, such as a conference publication, thesis work, or previous engineer.
What We'll Offer You
Comprehensive, competitive healthcare and dental coverage through Blue Cross Blue Shield, vision coverage through VSP, family leave, paid time off, 401k retirement plan, disability and life insurance, and fully covered parking/commuter benefits.
A dynamic early-stage work environment and highly interdisciplinary, talented, and collaborative team.
Participation in an unprecedented opportunity to advance a single tRNA medicine to restore disrupted protein production, regardless of target, for thousands of diseases with the same underlying genetic mutation.
Professional growth opportunities through mentoring, training, immersion in cross-functional projects, and opportunities to learn and try new things.
Our Core Values
PATIENTS DESERVE BETTER. We are transforming medicine, boldly building a new future for patients.
CURIOSITY SPARKS DISCOVERY. We ardently explore the unknown, catalyzing new scientific breakthroughs.
COURAGE PROPELS US FORWARD. We take thoughtful risks without fear of failure, growing with each experience.
OUR PURPOSE FUELS US. We each lead and work with focus and passion to design groundbreaking tRNA medicines.
WE ARE ONE TEAM. We are united on trust and collaboration, embracing all voices and experiences.
WE GIVE IT OUR ALL, EVERYDAY, FOR PATIENTS EVERYWHERE. WE ARE ALLTRNA.

Flagship Pioneering and our ecosystem companies are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.
Recruitment & Staffing Agencies: Flagship Pioneering and its affiliated Flagship Lab companies (collectively, ""FSP"") do not accept unsolicited resumes from any source other than candidates. The submission of unsolicited resumes by recruitment or staffing agencies to FSP or its employees is strictly prohibited unless contacted directly by Flagship Pioneering's internal Talent Acquisition team. Any resume submitted by an agency in the absence of a signed agreement will automatically become the property of FSP, and FSP will not owe any referral or other fees with respect thereto.
Show Less
Report",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Software Engineering Co-op (Fall 2023),$81K - $122K (Glassdoor est.),Honeywell4.0 ★,"Mason, OH","Join a team recognized for leadership, innovation and diversity
The future is what you make it.
When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future.
That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.
Working at Honeywell isn’t just about developing cool things. That’s why all of our employees enjoy access to dynamic career opportunities across different fields and industries.
Are you ready to help us make the future?
Join a team that designs, develops and integrates highly complex software applications within Honeywell Intelligrated. You will be an active and integral member of a team to achieve the completion of goals. You will also generate innovative solutions in work situations; trying different and novel ways to deal with problems and opportunities. Use your skill set to provide value added software features to our products for our customers and accelerate innovation and growth, teaming with the world's most talented engineers
The Software Engineer implements electrical and control projects for an integrated system or sub-system. Software Engineer provides planning, reporting and management of the controls portions of material handling systems for an integrated system or subsystem, in addition to technical implementation. The Software Engineer works with the controls project elements and executes individual tasks throughout the project life cycle by coordinating and forecasting controls resources in-house and on site. The Software Engineer takes a systems approach in understanding core design features, project elements, overall electrical and controls architecture.
YOU MUST HAVE
Currently pursuing an Software Engineering or Computer Science degree with a graduation date no later than 2026
Must be able to participate in a co-op prior to completing current degree program
WE VALUE
For the fall semester we are hiring Software Engineering Co-ops with the following skill sets:
C++, Java, C#, Python
Object Oriented Programming
PostgreSQL, SQL
Firmware
Robotics
Machine Learning, AI
Github
Linux, Unix
Unity3D

Honeywell Intelligrated is a leading, single-source provider of automated material handling solutions and intelligent software that drive fulfillment productivity for retailers, manufacturers and logistics providers around the world. Through a broad portfolio of automation equipment, warehouse execution system software, services and support, our solutions give businesses a competitive edge in increasingly complex commerce and fulfillment environments.

HoneywellURNAM
Additional Information
JOB ID: req408965
Category: Engineering
Location: 7901 Innovation Way,Mason,Ohio,45040,United States
Nonexempt
Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.
To apply to this job, click Apply Now
Show Less
Report",4.0,10000+ Employees,1885,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Senior Software Engineer - Machine Learning,$120K - $177K (Glassdoor est.),Abacus.AI4.9 ★,"San Francisco, CA","Responsible for implementing various algorithms to do automated feature extraction and dataset augmentation, optimizing runtimes of neural network algorithms and building higher-level abstractions for various common AI/ML techniques. As an ML engineer, they will also work cross functionally amongst other engineers, on common ML operation tasks such as ML data management and training and model deployment, as well as build systems that are scalable.
Candidates will need to have a BS in computer science from an accredited university OR have 5 years of professional work experience. In addition, we are looking for software engineers who have the following:
5 years of professional software engineering experience. Some experience with Python is required.
Have at least 1 year of professional work experience in one of the following: data infrastructure, ML/AI models in production, neural network algorithms, performance optimization of deep learning systems.
Show Less
Report",4.9,51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
2024 Associate Software Engineer - Technology Cohort Program,$69K - $101K (Glassdoor est.),T. Rowe Price3.8 ★,"Owings Mills, MD","There is a place for you at T. Rowe Price to grow, contribute, learn, and make a difference. We are a premier asset manager focused on delivering global investment management excellence and retirement services that investors can rely on today and in the future. The work we do matters. We invite you to explore the opportunity to join us and grow your career with us.
Associate Software Engineer

For 80 years, T. Rowe Price has changed the investment management industry by delivering world-class service and guidance to individuals and institutions around the globe. Our shared values enable us to create a dynamic workplace that cultivates high achievement from diverse professionals in a variety of disciplines. Built on a tradition of integrity, we are committed to our clients and employees and focused on sustained growth and success.

We’re seeking dedicated software engineers to help build the next generation of platforms and applications. If you are looking to design cloud- based architectures, deliver impactful user experiences across the web and mobile devices, and learn about the finance industry along the way, then we want you! This is a chance to create an impact on our business as a part of a broader technology transformation and gain experience in cloud-based solutions, data architecture, and business solution architecture!

Program Structure:

The Technology program focuses on developing foundational skills to equip our early talent associates with the tools to be the future leaders of the organization. The program is non-rotational, with direct placement into a functional area based on your skillset and business unit needs. The program will focus on the pillars of education, exposure, experience, and engagement, which would include customized learning curriculum, exposure to senior leadership, community service projects, assigned mentors, and social activities.

Role Summary & Job Responsibilities:

You will be placed within a specific department within l Technology. As an Associate Software Engineer you will:
Support part of the software development process: Design, develop, modify, adapt and implement short- and long-term solutions to information technology needs through new and existing applications, systems, databases and applications infrastructure
Review and interpret system requirements and business processes
Code, test, debug and implement software solutions
Recommend technical solutions based on partnership with our senior engineers
Implement automated testing
Work with existing data models and schemas
Apply strong logic and reasoning capabilities
Build industry knowledge to support the software development activities and understand the work of the team.

Areas of Interest:

Software Engineering (Java, JavaScript, Python, SQL, Git, CI/CD, Docker)
Mobile Application Development (iOS/Swift, Android/Java, Apple Testflight, Google Firebase)
Cloud Computing (Amazon Web Services: Development and Operations, Systems Administration, App Support)
Operating Systems (Linux)
Machine learning
Required Qualifications
Full time student with an expected graduation date of December 2023 – May/June 2024.
Minimum GPA: 3.00 overall
Major: Computer Science, Statistics, Mathematics, Engineering
Cognizant of relevant and modern software methodologies (e.g., Scrum) and understands their role as part of software delivery team
Actively seeks feedback and mentorship to improve technical skills (e.g., through submitting work for code review)
Demonstrate competence in at least one programming language or technology
A commitment to continuous learning and development

Opportunities are available in Owings Mills, MD and Baltimore, MD.

FINRA Requirements
FINRA licenses are not required and will not be supported for this role.
Work Flexibility
This role is eligible for remote work up to three days a week.

T. Rowe Price is committed to providing our associates with a comprehensive total rewards benefit program, including wellness, retirement and quality-of-life benefits. Please view
What We Offer
to see what's available to you.

Commitment to Diversity, Equity, and Inclusion:
We strive for equity, equality, and opportunity for all associates. When we embrace the power of diversity and create an environment where people can bring their authentic and best selves to work, our firm is stronger, and we create greater value for our clients. Our commitment and inclusive programming aim to lift the experience for each associate and builds allies for our global associate community. We know that a sense of belonging is key not only to your success at the firm, but also to your ability to bring your best each day.
Benefits: We invest in our people through a wide range of programs and benefits, including:
Competitive pay and bonuses as well as a generous retirement plan and employee stock purchase plan with matching contributions
Flexible and remote work opportunities
Health care benefits (medical, dental, vision)
Tuition assistance
Wellness programs (fitness reimbursement, Employee Assistance Program)
Our policies may change as our working lives evolve. Yet, our commitment to supporting our associates’ well-being and addressing the needs of our clients, business, and communities is unwavering.
T. Rowe Price is an equal opportunity employer and values diversity of thought, gender, and race. We believe our continued success depends upon the equal treatment of all associates and applicants for employment without discrimination on the basis of race, religion, creed, color, national origin, sex, gender, age, mental or physical disability, marital status, sexual orientation, gender identity or expression, citizenship status, military or veteran status, pregnancy, or any other classification protected by country, federal, state, or local law.
Start your job application: click Apply Now
Show Less
Report",3.8,5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
Machine Learning Engineer,$109K - $171K (Glassdoor est.),TIDAL4.2 ★,"New York, NY","Company Description TIDAL is a global music and entertainment streaming platform committed to creating a deeper connection between artists and fans through its library of more than 80 million songs, over 350,000 high quality videos, and available in over 60 countries. In addition, TIDAL offers its subscribers exclusive access to high-profile music and music videos, original content series, podcasts, documentaries, livestream concerts, tickets, merchandise and live experiences. Together, TIDAL and Block will be music-obsessed and artist-focused while we explore new artist tools, listener experiences, and access to financial systems that help artists be more successful.
Job Description

We are seeking machine learning engineers to join us in building our artist platform and streaming product The primary purpose of the Personalization team is to connect artists and fans in meaningful ways. We use machine learning as the main driver of personalization in our team. We want every artist and fan to have their own individual version of TIDAL, each with their own homepage, personalized playlists, and recommendations.
You will report to the personalization lead
You Will:
Build personalized features for both the artist and streaming product
Use Databricks and AWS to prototype and productionize ML models and systems at scale
Contribute to building and improving our ML platform for experimentation, development, and model serving
Analyze large datasets and extract the most relevant features
Collaborate with a cross functional team of designers, product managers and software engineers to build new technologies and features

Qualifications

You Have:
5+ years of professional experience with recommender systems, ranking systems, or similar
Hands-on experience deploying machine learning systems at scale using Python
Experience building data pipelines for getting the data needed to build and evaluate models using tools like PySpark
Experience with at least one deep learning framework such as PyTorch, Tensorflow, etc.
Experience working with cloud services, preferably AWS
Significant experience demonstrating your ability to deliver results and make tradeoffs between idealistic solutions and product impact
Good communication and cooperation skills

Additional Information

Block takes a market-based approach to pay, and pay may vary depending on your location. U.S. locations are categorized into one of four zones based on a cost of labor index for that geographic area. The successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. These ranges may be modified in the future.

Zone A: USD $167,300 - USD $204,500
Zone B: USD $158,900 - USD $194,300
Zone C: USD $150,600 - USD $184,000
Zone D: USD $142,200 - USD $173,800
To find a location’s zone designation, please refer to this resource. If a location of interest is not listed, please speak with a recruiter for additional information.
Full-time employee benefits include the following:
Healthcare coverage (Medical, Vision and Dental insurance)
Health Savings Account and Flexible Spending Account
Retirement Plans including company match
Employee Stock Purchase Program
Wellness programs, including access to mental health, 1:1 financial planners, and a monthly wellness allowance
Paid parental and caregiving leave
Paid time off (including 12 paid holidays)
Paid sick leave (1 hour per 26 hours worked (max 80 hours per calendar year to the extent legally permissible) for non-exempt employees and covered by our Flexible Time Off policy for exempt employees)
Learning and Development resources
Paid Life insurance, AD&D, and disability benefits
Additional Perks such as WFH reimbursements and free access to caregiving, legal, and discounted resources
These benefits are further detailed in Block's policies. This role is also eligible to participate in Block's equity plan subject to the terms of the applicable plans and policies, and may be eligible for a sign-on bonus. Sales roles may be eligible to participate in a commission plan subject to the terms of the applicable plans and policies. Pay and benefits are subject to change at any time, consistent with the terms of any applicable compensation or benefit plans.
US and Canada EEOC Statement
We’re working to build a more inclusive economy where our customers have equal access to opportunity, and we strive to live by these same values in building our workplace. Block is a proud equal opportunity employer. We work hard to evaluate all employees and job applicants consistently, without regard to race, color, religion, gender, national origin, age, disability, pregnancy, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.
We believe in being fair, and are committed to an inclusive interview experience, including providing reasonable accommodations to disabled applicants throughout the recruitment process. We encourage applicants to share any needed accommodations with their recruiter, who will treat these requests as confidentially as possible. Want to learn more about what we’re doing to build a workplace that is fair and square? Check out our I+D page.
Additionally, we consider qualified applicants with criminal histories for employment on our team, and always assess candidates on an individualized basis.

Block, Inc. (NYSE: SQ) is a global technology company with a focus on financial services. Made up of Square, Cash App, Spiral, TIDAL, and TBD, we build tools to help more people access the economy. Square helps sellers run and grow their businesses with its integrated ecosystem of commerce solutions, business software, and banking services. With Cash App, anyone can easily send, spend, or invest their money in stocks or Bitcoin. Spiral (formerly Square Crypto) builds and funds free, open-source Bitcoin projects. Artists use TIDAL to help them succeed as entrepreneurs and connect more deeply with fans. TBD is building an open developer platform to make it easier to access Bitcoin and other blockchain technologies without having to go through an institution.
Show Less
Report",4.2,5001 to 10000 Employees,2009,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
Machine Learning Engineer,$98K - $132K (Glassdoor est.),Synthetaic5.0 ★,"Milwaukee, WI","We are on a mission to unlock impossible AI for all.
Imagine a world in which breakthrough discoveries are commonplace. Here at Synthetaic, we help organizations transcend data-access and data-quality issues, unleashing the full impact of AI in all fields. Simply put, our technology unlocks previously impossible AI that has the power to change the world.

That’s all well and good, but despite our high-tech profile, we recognize that none of this is possible without our people. Which is why we’re thrilled to be adding a Machine Learning Engineer to our Technology team.
Here’s what you’ll be working on:
Writing efficient, reusable, testable, and scalable code for core components of AI projects
Understanding and analyzing existing code written to carry out AI-related tasks
Collaborating closely with AI/ML Engineers and Data Scientists to scope out and design AI software packages
Conducting various experiments, code debugging, and python development with close attention to detail
A good Machine Learning Engineer at Synthetaic must have the following skills, knowledge, education and experience:
Master’s degree in Computer Science (or related field) or Bachelor's degree in Computer Science, Software Engineering, Data Science, or Electrical Engineering with 1-2 years of experience in AI/ML
Strong desire to learn and curiosity towards new technologies
Solid Python programming skills
Strong analytical and problem-solving skills
Deep understanding of one of the following areas: AI, machine learning, or deep learning
Familiarity with AI/ML software packages and frameworks (NumPy, Pandas, Scikit-learn, Matplotlib, opencv, PyTorch/Tensorflow), Linux OS environment
Familiarity of various neural network architectures (CNN, GAN, transformer, etc.) specifically applied to solve computer vision or image processing problems.
Familiarity with cloud technology
Ability to work full-time onsite at our office in Delafield, Wisconsin
Permanent eligibility to work in the United States without sponsorship
Eligibility to participate in all government-related contracts
If you want to go above and beyond, bring these skills and characteristics to the table:
Excellent communication skills (written and verbal)
Working knowledge of cloud technology
Familiarity with object oriented programming
Advanced working knowledge of Pytorch or TensorFlow
Familiarity with computer science/software engineering concepts, including common data structures and algorithms
Familiarity with docker containers
Implemented state-of-the-art models from research papers
Solid background in deep learning: layer details, loss functions, accuracy metrics, optimization, etc.
Synthetaic is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Synthetaic is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please send an e-mail to careers@synthetaic.com and let us know the nature of your request and your contact information.
Show Less
Report",5.0,1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Science Opportunities,$114K - $160K (Glassdoor est.),Intuit4.6 ★,"San Diego, CA","Overview
Intuit is a global technology platform that helps consumers and small businesses overcome their most important financial challenges. Serving more than 100 million customers worldwide with TurboTax, Credit Karma, QuickBooks, and Mailchimp, we believe that everyone should have the opportunity to prosper. We never stop working to find new, innovative ways to make that possible.
What you'll bring
To be successful in this role, the candidates must have the following:
Senior Data Scientist 1+ years of industry experience with data science with a BS, MS, or PhD in an appropriate technology field (Computer Science, Statistics, Applied Math, Operations Research, etc.)
Staff Data Scientist 4+ years of industry experience with data science with a BS, MS or PhD in Statistics, Mathematics, Computer Science, Economics, Operations Research, or equivalent
Senior Staff Data Scientist 7+ years of industry experience with data science with a BS, MS or PhD in Statistics, Mathematics, Computer Science, Economics, Operations Research, or equivalent
Principal Data Scientist 10+ years of industry experience and 3+ years as either a lead in a data science role or in a management position in data science with a PhD/MS in PhD/MS in Engineering Mathematics, Statistics, Theoretical/Computational Physics, or related field

All roles require:
Hands-on expertise in ML paradigms such as Causal-ML, supervised/unsupervised, Online, Bayesian, Reinforcement or Deep Learning.
Proficient in multiple optimization paradigms such as combinatorial optimization, gradient methods, or Bayesian optimization
Proficient in NLP techniques, Explainable AI, and ML frameworks
Expertise in modern advanced analytical tools and programming languages such as Python, Scala, Java and/or R
Efficient in SQL, Hive, SparkSQL, etc
Comfortable working in a Linux environment
Experience with building end-to-end reusable pipelines from data acquisition to model output delivery
Quick learner, adaptable, with the ability to work independently in a fast-paced environment
Strong oral and written communication skills. Ability to conduct meetings and make professional presentations, and to explain complex concepts and technical material to non-technical users
How you will lead
Come join our collaborative and creative group of data scientists and machine learning engineers and build models that directly affect hundreds of thousands of our customers. This team solves complex problems in artificial intelligence and machine learning to create innovative new solutions for our customers.

We are currently adding Senior Data Scientists, Staff Data Scientists, Senior Staff Data Scientists & Principal Data Scientists to our team to embed artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security, and enhance customer care. We aim to save our customers time (""Never enter data""), increase their prosperity by making actionable financial recommendations, and enable them to have complete confidence in our products. Regardless of title, in all roles you will use machine learning to add new features and improve existing ones throughout our offerings, such as categorization, fraud prevention, customer success, A/B testing, and more.

Responsibilities
Practices leadership and communication skills to influence teams and to evangelize data science across the organization
Collaborates with stakeholders to define success criteria and align model metrics with business goals. Works side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products
Leads technical work of a scrum team: initiating and designing model solutions, driving end-to-end architecture designs of the team’s work, and holding the team accountable for high quality code, git, design, costs and implementation standards
Performs hands-on data analysis and modeling with large data sets, including discovering data sources, getting data access, cleaning up data, and making them “model-ready”. You need to be willing and able to do your own ETL and design/build featurization
Applies data mining, NLP, and machine learning (such as supervised/unsupervised, Causal-ML, Online Learning, Bayesian Learning, Reinforcement Learning, or Deep Learning) to real-world problems and datasets
Runs A/B tests to draw conclusions on the impact of your team’s work and communicates results to peers and leaders
Communicates with partners to ensure successful delivery and integration of DS solutions
Proactively researches, explores, and enables new ML technologies. Keeps up with the new developments in academia and industry and considers possible extensions to solve Intuit customer problems
Apply Now: click Apply Now
Show Less
Report",4.6,10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
Machine Learning Engineer,-1,Luxoft4.2 ★,Remote,"Project Description
This position will develop new analytics, enhance existing analytics, and maintain and improve the applications that support these analytics using bigdata tools.

The applications to develop include:
Monitoring data from Internet of Things devices, such as wearable technology
Accelerating research for new therapeutic or clinical discoveries
Assigning codes for accurate diagnosis and reimbursement

This team will use:
Core knowledge of statistics, machine-learning and numerical/computational methods with experience in the application of these methods to business problems
Extensive programming experience with Python/Pyspark /other analytics languages along with DB
Responsibilities
a) Design and development of machine learning and/or mathematical algorithms for features in Optum Pixel.
b) Evaluation of alternative models and approaches to meet product requirements.
c) Hands on development, data analysis and leading team.
d) Deployment and operational support of ML/AI solutions
e) Presentations to potential and existing customers of the functionality developed.
Skills
Must have
Python
Design and Development of Machine Learning and Algorithms
Practical experience in selecting appropriate ML models, successful deployment of large scale ML/AI solution
Nice to have
Data base Development
Languages
English: C1 Advanced
Seniority
Regular
Relocation package
If needed, we can help you with relocation process.
Vacancy Specialization
AI/ML
Ref Number
VR-98727
Apply Now: click Apply Now
Show Less
Report",4.2,10000+ Employees,2000,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
"Software Engineer, Machine Learning",$220K - $300K (Employer est.),Notion4.8 ★,"New York, NY","About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.
Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).
About The Role
We are looking for an ML Engineer to join our small but nimble AI team whose mission is to make Notion an ML-powered product. As an ML Engineer, you will work on incorporating large language models (LLMs), embeddings, and other AI technologies into Notion’s product in a high quality way. You’ll be exploring the boundaries of what’s possible with ML technology and finding innovative ways to apply new industry learnings to Notion’s offering.
What You'll Achieve:
Work with the team to prototype and experiment with AI model quality improvements, either by fine tuning, prompt engineering, or building new models when needed
Productionize and launch new AI technology integrations into Notion’s core product
Collaborate with cross-functional teams to deliver product features on time
Stay up-to-date with the latest AI technologies and trends
Skills You'll Need to Bring:
Domain Expert, Teacher and Learner: You have experience building AI products using LLMs, embeddings or other ML natural language technologies. 6+ years of experience in one or more of the following areas: machine learning, recommendation or ranking systems, natural language understanding/generation or artificial intelligence. You’re excited about bringing your pre-existing knowledge to the team, but you balance that with perpetual curiosity and understanding that there is always more to learn.
Holistic Problem Solver: You approach problems holistically, starting with a clear and accurate understanding of the context. You think critically about the implications of what you're building and how it will impact real people's lives. You can navigate ambiguity flawlessly, decompose complex problems into clean solutions, while also balancing the business impact of what you’re building.
Communicate with Care: You communicate nuanced ideas clearly, whether you're explaining technical decisions in writing or brainstorming in real time. In disagreements, you engage thoughtfully with other perspectives and compromise when needed. You enjoy collaborating with both fellow engineers and cross-functional partners. You are a lifelong learner and invest in both your own growth and the growth, learning, and development of your teammates.
Impact Driven: You care about business impact and prioritize projects accordingly. You understand the balance between craft, speed, and the bottom line. You think critically about the implications of what you're building, and how it shapes real people's lives. You understand that reach comes with responsibility for our impact—good and bad. Work isn't a solo endeavor for you, and you enjoy collaborating cross-functionally to accomplish shared goals.
Nice to Haves:
You understand how parts of a system fit together, from the user interface to the data model. You are familiar with relational database systems like Postgres or MySQL, and have experience building products from ground up.
You’re proficient with data pipeline technologies: Spark, DBT, etc
You're proficient with any part of our technology stack: React, TypeScript, Node.js, and Postgres.
You have experience driving teams toward shared goals and can balance business priorities with individuals’ strengths, areas of interest, and career development goals.
You've heard of computing pioneers like Ada Lovelace, Douglas Engelbart, Alan Kay, and others—and understand why we're big fans of their work.
You have interests outside of technology, such as in art, history, or literature.
We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.
Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation made due to a disability, please let your recruiter know.
Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco and New York, the estimated base salary range for this role is $220,000 - $300,000 per year.
#LI-Onsite
Show Less
Report",4.8,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
