Job Title,Salary Estimate,Location
Data Science Analyst,$61K - $90K (Employer est.),"Chicago, IL"
Analyst - Data Science,$55K - $105K (Employer est.),"New York, NY"
Consultant - Data Science,$120K - $140K (Employer est.),Massachusetts
Junior Data Science Analyst,$69K - $94K (Glassdoor est.),"Richardson, TX"
Data Science Analyst I,$55K - $65K (Employer est.),Remote
machinelearning and Data science,$71K - $106K (Employer est.),"Sturgis, MI"
Data Science Analyst,$91K - $123K (Glassdoor est.),"San Jose, CA"
"Associate Engineer, Data Science",-1,Remote
DATA SCIENTIST I,-1,Remote
"Director, Data Science",$125K - $145K (Employer est.),Remote
Junior Data Scientist,$80K - $100K (Employer est.),"Stamford, CT"
Data Science Developer,$91K - $120K (Employer est.),"Tampa, FL"
Jr Data Scientist,$76K - $105K (Glassdoor est.),"Iselin, NJ"
Data science Developer,$76K - $120K (Employer est.),"Tampa, FL"
Data Analyst,$60K - $91K (Glassdoor est.),"Atlanta, GA"
Data Scientist,$145K - $153K (Employer est.),"Vienna, VA"
Data Scientist,-1,New York State
Data Analyst,$56K - $85K (Glassdoor est.),"Liberty, NC"
Data Science Lead,$200K - $240K (Employer est.),Remote
Big Data SDET With Python,$50.00 - $60.00 Per Hour (Employer est.),Remote
Data Scientist,$80K - $120K (Employer est.),Remote
Senior Data Scientist,$43.03 - $68.18 Per Hour (Employer est.),Remote
Data Analyst,-1,Remote
Data Engineer,$100K - $110K (Employer est.),"New York, NY"
Junior Consultant in Strategy & Data Science - New York,$68K - $99K (Glassdoor est.),"New York, NY"
Data Scientist,$80K - $85K (Employer est.),"Mount Laurel, NJ"
Data Engineer,$80K - $85K (Employer est.),"Washington, DC"
Data Science Developer,$110K - $120K (Employer est.),"Tampa, FL"
Expert I Data Science,$102K - $154K (Employer est.),"Cambridge, MA"
Data Analyst,$65.00 - $70.00 Per Hour (Employer est.),"Raleigh, NC"
Data Analyst,$85K - $110K (Employer est.),"Charlotte, NC"
Data Analyst,$51K - $79K (Glassdoor est.),"Rexburg, ID"
Data Scientist,$70K - $105K (Employer est.),"Denver, CO"
Data Scientist,$123K - $169K (Employer est.),"Bellevue, WA"
Data Scientist,$93K - $178K (Employer est.),"Seattle, WA"
